IdxCd,IdxNm,TrdDt,OpPr,HiPr,LoPr,ClPr
000001,上证指数,2011-01-04,2825.33,2855.40,2810.11,2852.65
000001,上证指数,2011-01-05,2833.12,2850.49,2824.30,2838.59
000001,上证指数,2011-01-06,2838.43,2853.88,2816.95,2824.20
000001,上证指数,2011-01-07,2820.66,2868.01,2807.87,2838.80
000001,上证指数,2011-01-10,2832.62,2847.36,2786.86,2791.81
000001,上证指数,2011-01-11,2783.48,2810.76,2770.34,2804.05
000001,上证指数,2011-01-12,2811.78,2828.47,2788.13,2821.30
000001,上证指数,2011-01-13,2830.53,2837.53,2810.87,2827.71
000001,上证指数,2011-01-14,2817.05,2817.05,2780.44,2791.34
000001,上证指数,2011-01-17,2772.45,2780.94,2698.78,2706.66
000001,上证指数,2011-01-18,2696.15,2715.41,2683.37,2708.98
000001,上证指数,2011-01-19,2707.82,2759.60,2700.81,2758.10
000001,上证指数,2011-01-20,2752.80,2752.80,2676.13,2677.65
000001,上证指数,2011-01-21,2668.68,2746.18,2667.29,2715.29
000001,上证指数,2011-01-24,2716.52,2736.11,2690.65,2695.72
000001,上证指数,2011-01-25,2691.69,2701.04,2661.45,2677.43
000001,上证指数,2011-01-26,2677.17,2710.74,2676.77,2708.81
000001,上证指数,2011-01-27,2690.82,2753.00,2677.21,2749.15
000001,上证指数,2011-01-28,2741.31,2759.44,2733.29,2752.75
000001,上证指数,2011-01-31,2751.53,2790.92,2748.54,2790.69
000001,上证指数,2011-02-01,2795.07,2805.05,2785.30,2798.96
000001,上证指数,2011-02-09,2778.70,2804.21,2764.87,2774.07
000001,上证指数,2011-02-10,2769.65,2819.06,2760.18,2818.16
000001,上证指数,2011-02-11,2815.12,2835.41,2807.61,2827.33
000001,上证指数,2011-02-14,2828.57,2906.26,2828.57,2899.13
000001,上证指数,2011-02-15,2900.43,2934.47,2892.64,2899.24
000001,上证指数,2011-02-16,2893.68,2924.19,2882.55,2923.90
000001,上证指数,2011-02-17,2929.26,2939.28,2905.03,2926.96
000001,上证指数,2011-02-18,2924.23,2924.23,2890.26,2899.79
000001,上证指数,2011-02-21,2886.54,2932.82,2884.19,2932.25
000001,上证指数,2011-02-22,2941.32,2944.41,2851.62,2855.52
000001,上证指数,2011-02-23,2844.99,2868.48,2839.20,2862.63
000001,上证指数,2011-02-24,2861.39,2881.54,2854.56,2878.60
000001,上证指数,2011-02-25,2876.78,2890.32,2848.65,2878.57
000001,上证指数,2011-02-28,2880.17,2906.17,2861.82,2905.05
000001,上证指数,2011-03-01,2906.28,2931.58,2901.55,2918.92
000001,上证指数,2011-03-02,2905.51,2924.96,2883.57,2913.81
000001,上证指数,2011-03-03,2918.73,2937.56,2900.76,2902.98
000001,上证指数,2011-03-04,2902.19,2944.46,2898.08,2942.31
000001,上证指数,2011-03-07,2952.72,3000.43,2952.72,2996.21
000001,上证指数,2011-03-08,2996.73,3001.62,2976.60,2999.94
000001,上证指数,2011-03-09,3002.55,3012.04,2989.34,3002.15
000001,上证指数,2011-03-10,2995.77,2995.77,2954.37,2957.14
000001,上证指数,2011-03-11,2942.42,2966.98,2927.68,2933.80
000001,上证指数,2011-03-14,2923.98,2939.65,2914.46,2937.63
000001,上证指数,2011-03-15,2927.98,2927.98,2850.95,2896.26
000001,上证指数,2011-03-16,2894.25,2934.02,2894.25,2930.80
000001,上证指数,2011-03-17,2906.95,2935.63,2885.65,2897.30
000001,上证指数,2011-03-18,2920.81,2930.61,2900.87,2906.89
000001,上证指数,2011-03-21,2913.91,2927.07,2895.15,2909.14
000001,上证指数,2011-03-22,2917.69,2923.39,2884.75,2919.14
000001,上证指数,2011-03-23,2919.02,2950.42,2911.63,2948.48
000001,上证指数,2011-03-24,2949.85,2958.66,2942.13,2946.71
000001,上证指数,2011-03-25,2948.54,2985.08,2946.70,2977.81
000001,上证指数,2011-03-28,2985.36,3005.78,2979.20,2984.01
000001,上证指数,2011-03-29,2979.86,2994.17,2953.54,2958.08
000001,上证指数,2011-03-30,2955.45,2968.18,2935.75,2955.77
000001,上证指数,2011-03-31,2954.65,2961.63,2914.38,2928.11
000001,上证指数,2011-04-01,2932.48,2967.85,2924.39,2967.41
000001,上证指数,2011-04-06,2964.21,3005.24,2963.90,3001.36
000001,上证指数,2011-04-07,3003.20,3012.29,2990.31,3007.91
000001,上证指数,2011-04-08,3005.37,3031.10,2998.34,3030.02
000001,上证指数,2011-04-11,3037.91,3059.57,3019.89,3022.75
000001,上证指数,2011-04-12,3012.80,3039.12,3003.45,3021.37
000001,上证指数,2011-04-13,3006.83,3050.40,2994.47,3050.40
000001,上证指数,2011-04-14,3049.67,3058.24,3036.73,3042.64
000001,上证指数,2011-04-15,3036.34,3062.53,3020.16,3050.53
000001,上证指数,2011-04-18,3040.53,3067.46,3037.19,3057.33
000001,上证指数,2011-04-19,3038.81,3038.81,2996.22,2999.04
000001,上证指数,2011-04-20,3005.97,3019.12,2992.67,3007.04
000001,上证指数,2011-04-21,3021.77,3035.47,3012.54,3026.67
000001,上证指数,2011-04-22,3025.70,3032.97,3004.47,3010.52
000001,上证指数,2011-04-25,3003.03,3003.61,2964.64,2964.95
