StkCd,LStkNm,TrdDt,OpPr,HiPr,LoPr,ClPr
600843,上工申贝,2011-01-04,15.1100,15.7700,15.1000,15.4900
600843,上工申贝,2011-01-05,15.3500,15.6200,15.2900,15.5000
600843,上工申贝,2011-01-06,15.5000,15.8900,15.3800,15.5600
600843,上工申贝,2011-01-07,15.5200,15.7600,15.3000,15.6700
600843,上工申贝,2011-01-10,15.6900,15.7900,14.6900,14.8800
600843,上工申贝,2011-01-11,14.8800,14.9500,14.1800,14.3600
600843,上工申贝,2011-01-12,14.4100,14.6800,14.3000,14.5200
600843,上工申贝,2011-01-13,14.5700,14.7600,14.3200,14.3800
600843,上工申贝,2011-01-14,14.3800,14.4600,14.0800,14.0800
600843,上工申贝,2011-01-17,14.2500,14.2500,13.2900,13.4800
600843,上工申贝,2011-01-18,13.4900,13.4900,13.0000,13.2800
600843,上工申贝,2011-01-19,13.1200,13.6200,13.1200,13.6000
600843,上工申贝,2011-01-20,13.4000,13.7400,13.3300,13.3600
600843,上工申贝,2011-01-24,13.7700,13.7900,12.9000,13.2300
600843,上工申贝,2011-01-25,12.7300,13.3400,12.5000,13.0300
600843,上工申贝,2011-01-26,13.0300,13.2100,13.0000,13.0600
600843,上工申贝,2011-01-27,13.1300,13.4900,13.0200,13.3400
600843,上工申贝,2011-01-28,13.3400,13.5400,13.1300,13.4100
600843,上工申贝,2011-01-31,13.4800,13.6400,13.2500,13.2900
600843,上工申贝,2011-02-01,13.4500,13.4500,13.1800,13.2000
600843,上工申贝,2011-02-09,13.0000,13.2500,12.9100,13.0600
600843,上工申贝,2011-02-10,13.2200,13.5400,13.0400,13.5200
600843,上工申贝,2011-02-11,13.4700,14.5200,13.4700,14.4900
600843,上工申贝,2011-02-14,14.7300,15.8300,14.5000,15.4100
600843,上工申贝,2011-02-15,15.1000,15.6100,15.1000,15.2300
600843,上工申贝,2011-02-16,15.2500,15.6800,15.2300,15.5600
600843,上工申贝,2011-02-17,15.6800,16.5000,15.3200,16.4700
600843,上工申贝,2011-02-18,16.2100,16.4000,15.8800,15.9100
600843,上工申贝,2011-02-21,15.5500,16.0000,15.3800,15.8100
600843,上工申贝,2011-02-22,15.8100,15.8900,15.0700,15.1200
600843,上工申贝,2011-02-23,15.0300,15.3500,15.0300,15.2600
600843,上工申贝,2011-02-24,15.0700,15.5000,15.0700,15.4900
600843,上工申贝,2011-02-25,15.5000,15.5000,15.2200,15.3300
600843,上工申贝,2011-02-28,15.3200,15.5800,15.2300,15.4700
600843,上工申贝,2011-03-01,15.4800,15.8300,15.3500,15.7700
600843,上工申贝,2011-03-02,15.9000,16.1200,15.7000,16.1000
600843,上工申贝,2011-03-03,16.0600,17.5700,15.9300,16.8900
600843,上工申贝,2011-03-04,16.6000,17.1400,16.5600,16.8000
600843,上工申贝,2011-03-07,16.7900,17.2900,16.6100,16.6900
600843,上工申贝,2011-03-08,16.8000,16.8000,16.0000,16.4200
600843,上工申贝,2011-03-09,16.3000,17.2800,16.2200,17.2500
600843,上工申贝,2011-03-10,17.2800,17.8700,17.1600,17.2400
600843,上工申贝,2011-03-11,16.8000,17.5000,16.8000,16.9000
600843,上工申贝,2011-03-14,16.7600,17.2800,16.6500,16.9700
600843,上工申贝,2011-03-15,16.9300,17.0500,16.2000,16.4200
600843,上工申贝,2011-03-16,16.4200,16.7800,15.8800,16.1300
600843,上工申贝,2011-03-17,16.1700,16.1700,15.6100,15.6800
600843,上工申贝,2011-03-18,15.8000,16.3900,15.8000,16.0900
600843,上工申贝,2011-03-21,16.2000,16.2000,16.0000,16.1900
600843,上工申贝,2011-03-22,16.1000,16.3000,15.7000,15.9000
600843,上工申贝,2011-03-23,15.8600,16.2300,15.7300,16.1700
600843,上工申贝,2011-03-24,16.1300,16.3000,16.0000,16.2000
600843,上工申贝,2011-03-25,16.2000,16.6700,16.1300,16.5800
600843,上工申贝,2011-03-28,16.7100,16.7800,16.1800,16.2000
600843,上工申贝,2011-03-29,16.2000,16.3400,15.4000,15.4100
600843,上工申贝,2011-03-30,15.4500,15.5000,15.0600,15.1400
600843,上工申贝,2011-03-31,15.2800,15.4000,15.1000,15.1200
600843,上工申贝,2011-04-01,15.3500,15.9800,15.0100,15.9100
600843,上工申贝,2011-04-06,15.7400,15.8500,15.6100,15.7800
600843,上工申贝,2011-04-07,15.8200,15.8500,15.5100,15.7700
600843,上工申贝,2011-04-08,15.7700,15.9200,15.6300,15.8800
600843,上工申贝,2011-04-11,15.9300,15.9600,15.3300,15.8200
600843,上工申贝,2011-04-12,15.6600,16.2000,15.6600,16.1500
600843,上工申贝,2011-04-13,16.0000,16.4800,15.7800,15.9700
600843,上工申贝,2011-04-14,16.0900,16.1000,15.5000,15.6500
600843,上工申贝,2011-04-15,15.5300,15.7800,15.5000,15.5800
600843,上工申贝,2011-04-18,15.5800,16.1800,15.5100,15.9400
600843,上工申贝,2011-04-19,15.8600,15.8600,15.3300,15.5200
600843,上工申贝,2011-04-20,15.5200,16.0500,15.4500,15.8600
600843,上工申贝,2011-04-21,15.9800,15.9800,15.6200,15.8800
600843,上工申贝,2011-04-22,15.9400,16.7800,15.8300,16.7100
600843,上工申贝,2011-04-25,16.7200,16.7900,16.1500,16.3800
600843,上工申贝,2011-04-26,16.3000,16.3500,15.5800,15.7000
600843,上工申贝,2011-04-27,15.5800,15.7800,15.1000,15.2500
600843,上工申贝,2011-04-28,15.2700,15.4200,13.8800,14.1100
600843,上工申贝,2011-04-29,14.3000,14.3000,13.6800,13.9900
600843,上工申贝,2011-05-03,13.9900,14.2600,13.8400,14.1900
600843,上工申贝,2011-05-04,14.1900,14.2200,13.9800,14.0000
600843,上工申贝,2011-05-05,14.1600,14.1600,13.9800,14.0200
600843,上工申贝,2011-05-06,14.0200,14.2000,13.7200,14.1400
600843,上工申贝,2011-05-09,14.3000,14.3000,14.0300,14.0400
600843,上工申贝,2011-05-10,14.1200,14.2700,14.0400,14.2500
600843,上工申贝,2011-05-11,14.1200,15.6500,14.1200,15.0000
600843,上工申贝,2011-05-12,14.9800,15.1000,14.5000,14.9400
600843,上工申贝,2011-05-13,14.8800,14.9100,14.5500,14.6500
600843,上工申贝,2011-05-17,14.5000,14.7900,14.0000,14.2500
600843,上工申贝,2011-05-18,14.1000,14.4000,14.0200,14.1500
600843,上工申贝,2011-05-19,14.0700,14.2700,14.0200,14.2500
600843,上工申贝,2011-05-20,14.2500,14.2500,12.9000,13.5900
600843,上工申贝,2011-05-23,13.4700,13.4700,12.7000,12.9000
600843,上工申贝,2011-05-24,12.9000,13.0000,12.2700,12.5500
600843,上工申贝,2011-05-25,12.7500,13.2400,12.6800,12.8200
600843,上工申贝,2011-05-26,12.6200,13.3800,12.6200,13.0300
600843,上工申贝,2011-05-27,13.0500,13.2500,12.8000,13.0100
600843,上工申贝,2011-05-30,12.9900,13.1100,12.5300,13.0200
600843,上工申贝,2011-05-31,12.9000,13.2200,12.7300,13.0900
600843,上工申贝,2011-06-01,13.0100,13.1000,12.8700,13.0800
600843,上工申贝,2011-06-02,12.9000,13.6500,12.8300,13.4500
600843,上工申贝,2011-06-03,13.3400,13.6800,13.3000,13.4200
600843,上工申贝,2011-06-07,13.4300,13.4300,13.0700,13.1600
600843,上工申贝,2011-06-08,13.2200,13.2200,12.7200,12.9500
600843,上工申贝,2011-06-09,12.8800,13.0500,12.7300,12.7700
600843,上工申贝,2011-06-10,12.6800,12.8100,12.3700,12.6000
600843,上工申贝,2011-06-13,12.5500,12.5500,12.3800,12.4600
600843,上工申贝,2011-06-14,12.5000,12.7400,12.4600,12.6800
600843,上工申贝,2011-06-15,12.7000,12.7000,12.4200,12.4800
600843,上工申贝,2011-06-16,12.4000,12.4000,12.2200,12.2200
600843,上工申贝,2011-06-17,12.1500,12.3000,11.9500,12.0300
600843,上工申贝,2011-06-20,11.9800,12.0700,11.6500,11.6800
600843,上工申贝,2011-06-21,11.8000,11.8300,11.6200,11.7800
600843,上工申贝,2011-06-22,11.7800,11.8800,11.6300,11.7400
600843,上工申贝,2011-06-23,11.6800,11.9200,11.5400,11.9000
