StkCd,LStkNm,TrdDt,OpPr,HiPr,LoPr,ClPr
600006,东风汽车,2011-01-04,4.8500,4.9300,4.8200,4.9200
600006,东风汽车,2011-01-05,4.9000,4.9300,4.8600,4.9200
600006,东风汽车,2011-01-06,4.9200,4.9800,4.8800,4.9500
600006,东风汽车,2011-01-07,4.9400,5.0400,4.9200,4.9700
600006,东风汽车,2011-01-10,4.9500,4.9900,4.8400,4.8500
600006,东风汽车,2011-01-11,4.8500,4.8900,4.8200,4.8800
600006,东风汽车,2011-01-12,4.8900,4.9800,4.8700,4.9700
600006,东风汽车,2011-01-13,5.0000,5.0600,4.9300,5.0300
600006,东风汽车,2011-01-14,5.0300,5.0400,4.8900,4.9600
600006,东风汽车,2011-01-17,4.9400,4.9400,4.7100,4.7800
600006,东风汽车,2011-01-18,4.7400,4.8700,4.6700,4.8000
600006,东风汽车,2011-01-19,4.7900,4.9600,4.7200,4.9400
600006,东风汽车,2011-01-20,4.8900,4.9500,4.7800,4.8700
600006,东风汽车,2011-01-21,4.8200,5.0000,4.8000,4.9800
600006,东风汽车,2011-01-24,4.9300,5.0600,4.9100,4.9900
600006,东风汽车,2011-01-25,4.9600,5.0000,4.9200,4.9800
600006,东风汽车,2011-01-26,4.9700,5.0800,4.9600,5.0500
600006,东风汽车,2011-01-27,5.0200,5.1400,5.0000,5.1100
600006,东风汽车,2011-01-28,5.1000,5.1500,5.0700,5.1300
600006,东风汽车,2011-01-31,5.1200,5.1500,5.0400,5.1400
600006,东风汽车,2011-02-01,5.1300,5.1300,5.0600,5.0900
600006,东风汽车,2011-02-09,5.0700,5.0900,5.0000,5.0800
600006,东风汽车,2011-02-10,5.0800,5.3000,5.0400,5.2900
600006,东风汽车,2011-02-11,5.2600,5.3300,5.2300,5.2700
600006,东风汽车,2011-02-14,5.2900,5.3800,5.2800,5.3400
600006,东风汽车,2011-02-15,5.3600,5.3800,5.2400,5.2600
600006,东风汽车,2011-02-16,5.2600,5.3300,5.2400,5.3000
600006,东风汽车,2011-02-17,5.3200,5.3700,5.2400,5.3600
600006,东风汽车,2011-02-18,5.3400,5.4500,5.3000,5.4100
600006,东风汽车,2011-02-21,5.4100,5.4300,5.3600,5.4300
600006,东风汽车,2011-02-22,5.4200,5.4200,5.2300,5.2400
600006,东风汽车,2011-02-23,5.2400,5.2700,5.2000,5.2600
600006,东风汽车,2011-02-24,5.2100,5.2700,5.2100,5.2500
600006,东风汽车,2011-02-25,5.2500,5.2700,5.2100,5.2500
600006,东风汽车,2011-02-28,5.2600,5.3400,5.2200,5.3400
600006,东风汽车,2011-03-01,5.3400,5.4200,5.3200,5.3700
600006,东风汽车,2011-03-02,5.3100,5.3400,5.2100,5.3000
600006,东风汽车,2011-03-03,5.3000,5.3800,5.2200,5.2500
600006,东风汽车,2011-03-04,5.2400,5.3400,5.2300,5.3000
600006,东风汽车,2011-03-07,5.3400,5.4600,5.3000,5.3700
600006,东风汽车,2011-03-08,5.3900,5.4600,5.3600,5.4200
600006,东风汽车,2011-03-09,5.4200,5.4400,5.3600,5.3700
600006,东风汽车,2011-03-10,5.3800,5.3800,5.2600,5.3100
600006,东风汽车,2011-03-11,5.2700,5.3800,5.2700,5.3200
600006,东风汽车,2011-03-14,5.3200,5.3600,5.2900,5.3400
600006,东风汽车,2011-03-15,5.3000,5.3400,5.1600,5.2200
600006,东风汽车,2011-03-16,5.2000,5.2900,5.2000,5.2600
600006,东风汽车,2011-03-17,5.2200,5.2600,5.1500,5.1700
600006,东风汽车,2011-03-18,5.2000,5.2300,5.1700,5.2000
600006,东风汽车,2011-03-21,5.2100,5.2900,5.1800,5.2100
600006,东风汽车,2011-03-22,5.2200,5.2500,5.1300,5.2100
600006,东风汽车,2011-03-23,5.1900,5.2400,5.1800,5.2400
600006,东风汽车,2011-03-24,5.2400,5.2800,5.2000,5.2600
600006,东风汽车,2011-03-25,5.2700,5.3700,5.2400,5.3500
600006,东风汽车,2011-03-28,5.3500,5.3800,5.2900,5.3100
600006,东风汽车,2011-03-29,5.3100,5.3500,5.2600,5.2800
600006,东风汽车,2011-03-30,5.2600,5.2900,5.2100,5.2100
600006,东风汽车,2011-03-31,5.2400,5.2500,5.0900,5.1000
600006,东风汽车,2011-04-01,5.1200,5.1500,5.0800,5.1400
600006,东风汽车,2011-04-06,5.1300,5.1900,5.1300,5.1600
600006,东风汽车,2011-04-07,5.1600,5.2000,5.1000,5.1900
600006,东风汽车,2011-04-08,5.1600,5.2500,5.1300,5.2300
600006,东风汽车,2011-04-11,5.2300,5.2400,5.1600,5.1800
600006,东风汽车,2011-04-12,5.1700,5.3400,5.1500,5.2600
600006,东风汽车,2011-04-13,5.2600,5.3500,5.2200,5.3500
600006,东风汽车,2011-04-14,5.3600,5.3700,5.2800,5.2900
600006,东风汽车,2011-04-15,5.2500,5.3500,5.2500,5.3400
600006,东风汽车,2011-04-18,5.3300,5.4300,5.3100,5.3800
600006,东风汽车,2011-04-19,5.3600,5.3600,5.2700,5.2900
600006,东风汽车,2011-04-20,5.2900,5.3600,5.2500,5.3100
600006,东风汽车,2011-04-21,5.3400,5.3400,5.2800,5.3100
600006,东风汽车,2011-04-22,5.3100,5.3400,5.2700,5.3200
600006,东风汽车,2011-04-25,5.3500,5.3700,5.2600,5.2800
600006,东风汽车,2011-04-27,5.2300,5.3100,5.0800,5.1200
600006,东风汽车,2011-04-28,5.1300,5.1700,4.9300,4.9600
600006,东风汽车,2011-04-29,4.9600,5.0700,4.9600,5.0600
600006,东风汽车,2011-05-03,5.0600,5.0800,4.9900,5.0600
600006,东风汽车,2011-05-04,5.0800,5.0800,4.9000,4.9800
600006,东风汽车,2011-05-05,4.9700,5.0000,4.9300,4.9900
600006,东风汽车,2011-05-06,4.9500,5.0200,4.9100,4.9700
600006,东风汽车,2011-05-09,4.9700,5.0200,4.9500,4.9800
600006,东风汽车,2011-05-10,5.0000,5.0100,4.9500,5.0000
600006,东风汽车,2011-05-11,5.0000,5.0000,4.9300,4.9800
600006,东风汽车,2011-05-12,4.9600,4.9900,4.9000,4.9200
600006,东风汽车,2011-05-13,4.9100,4.9800,4.9000,4.9500
600006,东风汽车,2011-05-16,4.9500,4.9600,4.8900,4.9000
600006,东风汽车,2011-05-17,4.8800,4.9300,4.8600,4.9100
600006,东风汽车,2011-05-18,4.9100,4.9800,4.9000,4.9700
600006,东风汽车,2011-05-19,4.9600,4.9800,4.9200,4.9300
600006,东风汽车,2011-05-20,4.9300,4.9300,4.8900,4.9000
600006,东风汽车,2011-05-23,4.9000,4.9200,4.7200,4.7300
600006,东风汽车,2011-05-24,4.7500,4.7500,4.5500,4.6500
600006,东风汽车,2011-05-25,4.6100,4.6300,4.5500,4.5800
600006,东风汽车,2011-05-26,4.5900,4.6200,4.5600,4.5800
600006,东风汽车,2011-05-27,4.5900,4.6000,4.4800,4.4900
600006,东风汽车,2011-05-30,4.4900,4.5400,4.4600,4.4700
600006,东风汽车,2011-05-31,4.4800,4.5300,4.4700,4.5300
600006,东风汽车,2011-06-01,4.5300,4.6300,4.5000,4.6000
600006,东风汽车,2011-06-02,4.5500,4.5500,4.4500,4.4800
600006,东风汽车,2011-06-03,4.4600,4.5500,4.4600,4.5300
600006,东风汽车,2011-06-07,4.5600,4.5700,4.5300,4.5500
600006,东风汽车,2011-06-08,4.5500,4.5800,4.5100,4.5700
600006,东风汽车,2011-06-09,4.5700,4.5900,4.4800,4.4800
600006,东风汽车,2011-06-10,4.4800,4.5100,4.4200,4.5000
600006,东风汽车,2011-06-13,4.5000,4.5100,4.3900,4.4600
600006,东风汽车,2011-06-14,4.4600,4.5300,4.4000,4.5300
600006,东风汽车,2011-06-15,4.5100,4.5800,4.4900,4.5200
600006,东风汽车,2011-06-16,4.4800,4.5300,4.4100,4.4300
600006,东风汽车,2011-06-17,4.4600,4.4600,4.3700,4.3900
600006,东风汽车,2011-06-20,4.3800,4.4000,4.2600,4.3100
600006,东风汽车,2011-06-21,4.2100,4.2400,4.1800,4.2300
600006,东风汽车,2011-06-22,4.2300,4.2800,4.1700,4.2400
600006,东风汽车,2011-06-23,4.2200,4.3000,4.1900,4.2900
600006,东风汽车,2011-06-24,4.2900,4.4400,4.2700,4.4200
600006,东风汽车,2011-06-27,4.4200,4.4500,4.3700,4.4200
600006,东风汽车,2011-06-28,4.4000,4.4400,4.3700,4.4000
600006,东风汽车,2011-06-29,4.4100,4.4100,4.3400,4.3500
600006,东风汽车,2011-06-30,4.3500,4.4100,4.3300,4.3800
600006,东风汽车,2011-07-01,4.4000,4.4400,4.3400,4.4100
600006,东风汽车,2011-07-04,4.4400,4.6500,4.4400,4.6100
600006,东风汽车,2011-07-05,4.6200,4.6500,4.5700,4.6200
600006,东风汽车,2011-07-06,4.6000,4.6200,4.5600,4.5800
600006,东风汽车,2011-07-07,4.5800,4.6300,4.5300,4.5900
600006,东风汽车,2011-07-08,4.5800,4.6200,4.5500,4.5700
600006,东风汽车,2011-07-11,4.5500,4.6000,4.5200,4.5700
600006,东风汽车,2011-07-12,4.5600,4.5700,4.4900,4.5500
600006,东风汽车,2011-07-13,4.5500,4.6600,4.5200,4.5800
600006,东风汽车,2011-07-14,4.6000,4.6000,4.5400,4.5900
600006,东风汽车,2011-07-15,4.5900,4.6000,4.5400,4.5800
600006,东风汽车,2011-07-18,4.5800,4.6000,4.5500,4.5700
600006,东风汽车,2011-07-19,4.5600,4.5600,4.4500,4.5000
600006,东风汽车,2011-07-20,4.5200,4.5300,4.4600,4.4900
600006,东风汽车,2011-07-21,4.4900,4.4900,4.3500,4.4700
600006,东风汽车,2011-07-22,4.4500,4.4800,4.4200,4.4700
600006,东风汽车,2011-07-25,4.4400,4.4600,4.3100,4.3300
600006,东风汽车,2011-07-26,4.3300,4.3300,4.2700,4.3100
600006,东风汽车,2011-07-27,4.3100,4.3500,4.2700,4.3400
600006,东风汽车,2011-07-28,4.3300,4.3300,4.2600,4.3100
600006,东风汽车,2011-07-29,4.3100,4.3900,4.2500,4.3500
600006,东风汽车,2011-08-01,4.3200,4.3500,4.3000,4.3300
600006,东风汽车,2011-08-02,4.3100,4.3200,4.2400,4.2900
600006,东风汽车,2011-08-03,4.2500,4.3300,4.2200,4.3200
600006,东风汽车,2011-08-04,4.3200,4.3700,4.2900,4.3200
600006,东风汽车,2011-08-05,4.2300,4.2400,4.1700,4.2100
600006,东风汽车,2011-08-08,4.1500,4.1800,3.9000,3.9500
600006,东风汽车,2011-08-09,3.8300,3.9600,3.8100,3.9600
600006,东风汽车,2011-08-10,4.0100,4.0600,3.9800,3.9900
600006,东风汽车,2011-08-11,3.9400,4.0600,3.9100,4.0600
600006,东风汽车,2011-08-12,4.0800,4.1000,4.0500,4.0900
600006,东风汽车,2011-08-15,4.0900,4.1300,4.0600,4.1200
600006,东风汽车,2011-08-16,4.1200,4.1500,4.0600,4.0700
