StkCd,LStkNm,TrdDt,OpPr,HiPr,LoPr,ClPr
601318,中国平安,2011-01-25,48.3400,49.0000,47.9000,48.5000
601318,中国平安,2011-01-26,48.5900,49.3600,48.5500,48.9300
601318,中国平安,2011-01-27,48.5000,50.1800,48.0600,49.9300
601318,中国平安,2011-01-28,49.9300,50.1500,48.9000,49.4000
601318,中国平安,2011-01-31,49.3300,49.9000,48.9500,49.7000
601318,中国平安,2011-02-01,49.7800,50.1000,49.4900,49.9500
601318,中国平安,2011-02-09,49.8000,50.7500,49.4500,49.9000
601318,中国平安,2011-02-10,49.8000,50.6600,49.3600,50.5700
601318,中国平安,2011-02-11,50.2000,50.4000,49.7500,49.9700
601318,中国平安,2011-02-14,50.0000,52.5000,49.9600,52.2900
601318,中国平安,2011-02-15,52.1900,52.5000,51.6000,51.6400
601318,中国平安,2011-02-16,51.5000,51.8600,51.0000,51.4900
601318,中国平安,2011-02-17,51.5100,51.9000,51.0000,51.2600
601318,中国平安,2011-02-18,51.1000,51.5800,50.7700,51.1800
601318,中国平安,2011-02-21,50.9800,51.6500,50.6800,51.5600
601318,中国平安,2011-02-22,51.6000,51.6900,49.2100,49.2400
601318,中国平安,2011-02-23,49.0300,49.3600,48.6300,48.9300
601318,中国平安,2011-02-24,48.9000,49.0000,48.2100,48.8700
601318,中国平安,2011-02-25,48.8800,49.8800,48.6000,49.2200
601318,中国平安,2011-02-28,49.2800,49.8500,48.7800,49.7600
601318,中国平安,2011-03-01,49.7900,50.7300,49.7000,50.2500
601318,中国平安,2011-03-02,49.8500,50.5100,49.6200,50.1100
601318,中国平安,2011-03-03,50.3700,52.1000,50.3400,50.7200
601318,中国平安,2011-03-04,50.9600,52.2500,50.7500,52.1300
601318,中国平安,2011-03-07,52.6100,53.7100,52.4900,53.5000
601318,中国平安,2011-03-08,53.4000,53.8000,52.6100,53.1700
601318,中国平安,2011-03-09,53.5000,54.0100,52.9700,53.4200
601318,中国平安,2011-03-10,53.2000,53.2000,51.5600,51.6400
601318,中国平安,2011-03-11,51.3000,51.6100,50.5600,50.8600
