StkCd,LStkNm,TrdDt,OpPr,HiPr,LoPr,ClPr
600028,中国石化,2011-01-04,8.0800,8.2200,8.0400,8.2000
600028,中国石化,2011-01-05,8.1500,8.1600,8.0900,8.1100
600028,中国石化,2011-01-06,8.1300,8.1600,8.0000,8.0800
600028,中国石化,2011-01-07,8.0700,8.3200,8.0200,8.1800
600028,中国石化,2011-01-10,8.1800,8.2700,8.1100,8.2000
600028,中国石化,2011-01-11,8.1700,8.5000,8.1500,8.3600
600028,中国石化,2011-01-12,8.3900,8.4600,8.2800,8.3600
600028,中国石化,2011-01-13,8.4000,8.5700,8.3500,8.5300
600028,中国石化,2011-01-14,8.4600,8.6700,8.3500,8.5900
600028,中国石化,2011-01-17,8.5000,8.6200,8.3500,8.3900
600028,中国石化,2011-01-18,8.3300,8.6000,8.2800,8.4600
600028,中国石化,2011-01-19,8.4400,8.6500,8.4100,8.6500
600028,中国石化,2011-01-20,8.6800,8.7600,8.4000,8.4300
600028,中国石化,2011-01-21,8.4000,8.8000,8.3800,8.7000
600028,中国石化,2011-01-24,8.7000,9.0900,8.6300,8.8000
600028,中国石化,2011-01-25,8.7700,8.9900,8.6000,8.6700
600028,中国石化,2011-01-26,8.6400,8.7100,8.5400,8.7000
600028,中国石化,2011-01-27,8.6100,8.8400,8.5400,8.8200
600028,中国石化,2011-01-28,8.7500,8.8100,8.5900,8.7400
600028,中国石化,2011-01-31,8.7000,9.0300,8.6800,9.0000
600028,中国石化,2011-02-01,9.0000,9.1000,8.9500,9.0200
600028,中国石化,2011-02-09,8.9500,9.1000,8.9000,8.9300
600028,中国石化,2011-02-10,8.9200,8.9400,8.7500,8.9300
600028,中国石化,2011-02-11,8.9200,8.9800,8.8100,8.8900
600028,中国石化,2011-02-14,8.8500,9.1500,8.8400,9.0900
600028,中国石化,2011-02-15,9.1000,9.3200,8.9900,9.1900
600028,中国石化,2011-02-16,9.2000,9.3000,9.1300,9.2700
600028,中国石化,2011-02-17,9.3500,9.4700,9.1900,9.2700
600028,中国石化,2011-02-18,9.3800,9.4200,9.0500,9.1400
600028,中国石化,2011-02-21,9.2100,9.3200,9.1100,9.2700
600028,中国石化,2011-02-22,9.3400,9.3800,8.7100,8.7400
600028,中国石化,2011-02-23,8.5800,8.7200,8.4800,8.5600
600028,中国石化,2011-02-24,8.5500,8.6400,8.4900,8.5500
600028,中国石化,2011-02-25,8.5400,8.5400,8.3700,8.4700
600028,中国石化,2011-02-28,8.5000,8.5300,8.4100,8.5200
600028,中国石化,2011-03-01,8.5200,8.6500,8.4900,8.6300
600028,中国石化,2011-03-02,8.5600,8.6500,8.5300,8.5900
600028,中国石化,2011-03-03,8.6100,8.6800,8.4900,8.5900
600028,中国石化,2011-03-04,8.5900,8.8000,8.5600,8.7500
600028,中国石化,2011-03-07,8.7500,8.9300,8.7200,8.8400
600028,中国石化,2011-03-08,8.8500,8.8500,8.6900,8.7700
600028,中国石化,2011-03-09,8.7600,8.8900,8.7500,8.7800
600028,中国石化,2011-03-10,8.7600,8.7800,8.6000,8.6200
600028,中国石化,2011-03-11,8.5900,8.6400,8.5300,8.5500
600028,中国石化,2011-03-14,8.5200,8.6500,8.4900,8.5600
600028,中国石化,2011-03-15,8.5100,8.5400,8.2900,8.4200
600028,中国石化,2011-03-16,8.4100,8.5100,8.4100,8.4800
600028,中国石化,2011-03-17,8.4500,8.6800,8.3900,8.5700
600028,中国石化,2011-03-18,8.6300,8.6600,8.5100,8.5500
600028,中国石化,2011-03-21,8.5800,8.6400,8.5300,8.5700
600028,中国石化,2011-03-22,8.6000,8.6200,8.4800,8.5700
600028,中国石化,2011-03-23,8.5900,8.6000,8.5100,8.5900
600028,中国石化,2011-03-24,8.5700,8.6900,8.5400,8.6000
600028,中国石化,2011-03-25,8.6000,8.6800,8.5700,8.6700
600028,中国石化,2011-03-28,8.6500,8.7500,8.6300,8.6600
600028,中国石化,2011-03-29,8.6600,8.6800,8.5300,8.5400
600028,中国石化,2011-03-30,8.5300,8.7000,8.4600,8.6500
600028,中国石化,2011-03-31,8.6100,8.6400,8.4900,8.5300
600028,中国石化,2011-04-01,8.5000,8.5800,8.4800,8.5600
600028,中国石化,2011-04-06,8.5500,8.7400,8.5400,8.7100
600028,中国石化,2011-04-07,8.8000,8.8500,8.6900,8.7100
600028,中国石化,2011-04-08,8.7000,8.9000,8.6500,8.8400
600028,中国石化,2011-04-11,8.8600,8.9600,8.7400,8.7800
600028,中国石化,2011-04-12,8.7600,8.9800,8.6700,8.8600
600028,中国石化,2011-04-13,8.8200,8.9000,8.7700,8.8900
600028,中国石化,2011-04-14,8.8800,8.9100,8.8100,8.8200
600028,中国石化,2011-04-15,8.8100,8.9600,8.7800,8.8900
600028,中国石化,2011-04-18,8.8800,9.2100,8.8600,9.0500
600028,中国石化,2011-04-19,9.0000,9.0700,8.8700,8.9700
600028,中国石化,2011-04-20,8.9700,9.0500,8.8300,8.8800
600028,中国石化,2011-04-21,8.9200,8.9300,8.8400,8.8800
600028,中国石化,2011-04-22,8.8300,8.8800,8.6700,8.7200
600028,中国石化,2011-04-25,8.7100,8.7200,8.5900,8.6200
600028,中国石化,2011-04-26,8.6200,8.6700,8.5000,8.5200
600028,中国石化,2011-04-27,8.5600,8.6100,8.5200,8.5500
600028,中国石化,2011-04-28,8.6000,8.6700,8.5000,8.5200
600028,中国石化,2011-04-29,8.5700,8.6600,8.5300,8.6400
600028,中国石化,2011-05-03,8.6400,8.7100,8.5800,8.6800
600028,中国石化,2011-05-04,8.6400,8.6700,8.4000,8.4700
600028,中国石化,2011-05-05,8.4600,8.5900,8.3900,8.5800
600028,中国石化,2011-05-06,8.4500,8.5600,8.4300,8.4800
600028,中国石化,2011-05-09,8.4800,8.5200,8.3900,8.4300
600028,中国石化,2011-05-10,8.4600,8.4800,8.4300,8.4500
600028,中国石化,2011-05-11,8.4500,8.4800,8.3900,8.4000
600028,中国石化,2011-05-12,8.3700,8.3800,8.2300,8.3200
600028,中国石化,2011-05-16,8.3200,8.3800,8.2700,8.2800
600028,中国石化,2011-05-17,8.2900,8.3300,8.2500,8.2700
600028,中国石化,2011-05-18,8.2700,8.3600,8.2500,8.3200
600028,中国石化,2011-05-19,8.3300,8.3700,8.2900,8.3000
600028,中国石化,2011-05-20,8.3000,8.3300,8.2700,8.3000
600028,中国石化,2011-05-23,8.2800,8.2900,8.1000,8.1100
600028,中国石化,2011-05-24,8.1000,8.1300,7.9500,8.0900
600028,中国石化,2011-05-25,8.1000,8.1000,7.9700,8.0100
600028,中国石化,2011-05-26,8.0400,8.0700,7.9500,8.0000
600028,中国石化,2011-05-27,8.0200,8.0500,7.9800,8.0000
600028,中国石化,2011-05-30,7.9800,8.0400,7.9300,7.9800
600028,中国石化,2011-05-31,7.9800,8.0700,7.9700,8.0600
600028,中国石化,2011-06-01,8.0500,8.0500,7.9800,8.0200
600028,中国石化,2011-06-02,7.9700,8.0000,7.8500,7.8600
600028,中国石化,2011-06-03,7.8700,7.9600,7.8500,7.9000
600028,中国石化,2011-06-07,7.9000,8.0500,7.8600,8.0200
600028,中国石化,2011-06-08,8.0100,8.0500,7.9500,8.0400
600028,中国石化,2011-06-09,8.0400,8.0400,7.9300,7.9600
600028,中国石化,2011-06-10,7.9900,8.0000,7.9200,7.9600
600028,中国石化,2011-06-13,7.9400,7.9700,7.8700,7.9200
600028,中国石化,2011-06-14,7.9200,8.1700,7.9200,8.1300
600028,中国石化,2011-06-15,8.1100,8.1400,8.0600,8.0800
600028,中国石化,2011-06-16,8.0800,8.1000,8.0200,8.0300
600028,中国石化,2011-06-17,8.0300,8.1600,8.0100,8.1500
600028,中国石化,2011-06-20,8.0000,8.0800,7.9600,8.0200
600028,中国石化,2011-06-21,8.0600,8.0600,7.9900,8.0300
600028,中国石化,2011-06-22,8.0300,8.0600,7.9900,8.0500
600028,中国石化,2011-06-23,8.0400,8.1000,7.9800,8.1000
600028,中国石化,2011-06-24,8.0700,8.2500,8.0300,8.2200
600028,中国石化,2011-06-27,8.2200,8.4100,8.2000,8.2200
600028,中国石化,2011-06-28,8.2200,8.2400,8.1100,8.1800
600028,中国石化,2011-06-29,8.1800,8.3000,8.1300,8.1400
600028,中国石化,2011-06-30,8.1800,8.2900,8.1400,8.2300
600028,中国石化,2011-07-01,8.2600,8.2600,8.1600,8.1800
600028,中国石化,2011-07-04,8.1900,8.3000,8.1800,8.2800
600028,中国石化,2011-07-05,8.2800,8.3300,8.2400,8.2900
600028,中国石化,2011-07-06,8.3000,8.3100,8.1800,8.2400
600028,中国石化,2011-07-07,8.2400,8.2700,8.1000,8.1300
600028,中国石化,2011-07-08,8.1400,8.1500,8.0700,8.0900
600028,中国石化,2011-07-11,8.0800,8.1600,8.0800,8.1100
600028,中国石化,2011-07-12,8.0800,8.0900,8.0000,8.0100
600028,中国石化,2011-07-13,8.0100,8.0700,8.0100,8.0600
600028,中国石化,2011-07-14,8.0600,8.0700,7.9900,8.0500
600028,中国石化,2011-07-15,8.0200,8.0700,8.0100,8.0600
600028,中国石化,2011-07-18,8.0700,8.0800,8.0200,8.0300
600028,中国石化,2011-07-19,8.0000,8.0500,7.9900,8.0000
600028,中国石化,2011-07-20,8.0300,8.0400,7.9400,7.9700
600028,中国石化,2011-07-21,7.9800,7.9800,7.8500,7.8900
600028,中国石化,2011-07-22,7.9000,7.9200,7.8600,7.8800
600028,中国石化,2011-07-25,7.8500,7.8600,7.7100,7.7200
600028,中国石化,2011-07-26,7.7300,7.8000,7.6900,7.7700
600028,中国石化,2011-07-27,7.7500,7.7800,7.6800,7.7600
600028,中国石化,2011-07-28,7.7000,7.7600,7.6700,7.7400
600028,中国石化,2011-07-29,7.7200,7.8400,7.6900,7.7700
600028,中国石化,2011-08-01,7.7700,7.7900,7.7300,7.7500
600028,中国石化,2011-08-02,7.7000,7.7300,7.6000,7.6400
600028,中国石化,2011-08-03,7.6000,7.6600,7.5800,7.6000
600028,中国石化,2011-08-04,7.6100,7.6700,7.6000,7.6100
600028,中国石化,2011-08-05,7.5000,7.5000,7.3900,7.4100
600028,中国石化,2011-08-08,7.3400,7.3800,7.0500,7.0700
600028,中国石化,2011-08-09,6.9700,7.0900,6.8700,7.0500
600028,中国石化,2011-08-10,7.1400,7.1800,7.0800,7.1000
600028,中国石化,2011-08-11,7.0000,7.1500,6.9900,7.1400
600028,中国石化,2011-08-12,7.1600,7.2000,7.1400,7.1600
600028,中国石化,2011-08-15,7.1900,7.2500,7.0900,7.2300
600028,中国石化,2011-08-16,7.2200,7.2400,7.1700,7.2000
600028,中国石化,2011-08-17,7.1900,7.2100,7.1700,7.1700
600028,中国石化,2011-08-18,7.1700,7.1800,7.0600,7.0700
600028,中国石化,2011-08-19,6.9700,7.0200,6.9000,7.0100
600028,中国石化,2011-08-22,7.0000,7.0600,6.9500,6.9800
600028,中国石化,2011-08-23,6.9900,7.1600,6.9400,7.1500
600028,中国石化,2011-08-24,7.1600,7.1600,7.0800,7.1300
600028,中国石化,2011-08-25,7.1400,7.3500,7.1300,7.3400
600028,中国石化,2011-08-26,7.2900,7.3900,7.2300,7.3400
600028,中国石化,2011-08-29,7.3300,7.4100,7.2300,7.3900
600028,中国石化,2011-08-30,7.4000,7.5800,7.3500,7.3600
600028,中国石化,2011-08-31,7.3700,7.4200,7.3100,7.3600
600028,中国石化,2011-09-01,7.3700,7.4300,7.3100,7.3200
600028,中国石化,2011-09-02,7.3200,7.3300,7.1800,7.2100
600028,中国石化,2011-09-05,7.1600,7.1900,7.0300,7.0600
600028,中国石化,2011-09-06,7.0100,7.1800,7.0000,7.0600
600028,中国石化,2011-09-07,7.1000,7.1800,7.0700,7.1700
600028,中国石化,2011-09-08,7.1900,7.1900,7.1200,7.1400
600028,中国石化,2011-09-09,7.1500,7.2200,7.1000,7.1400
600028,中国石化,2011-09-13,7.0800,7.1300,7.0200,7.1000
600028,中国石化,2011-09-14,7.1100,7.1500,7.0300,7.1200
600028,中国石化,2011-09-15,7.1300,7.1800,7.1100,7.1700
600028,中国石化,2011-09-16,7.1900,7.2200,7.1800,7.2000
600028,中国石化,2011-09-19,7.1200,7.1200,7.0300,7.0300
600028,中国石化,2011-09-20,7.0300,7.1000,7.0000,7.0500
600028,中国石化,2011-09-21,7.0600,7.2300,7.0000,7.2200
600028,中国石化,2011-09-22,7.1400,7.1600,7.0100,7.0200
600028,中国石化,2011-09-23,6.9500,7.0300,6.9000,7.0100
600028,中国石化,2011-09-26,6.9500,7.0200,6.8900,6.9000
600028,中国石化,2011-09-27,6.9600,6.9700,6.8900,6.9500
600028,中国石化,2011-09-28,6.9800,6.9900,6.8700,6.9200
600028,中国石化,2011-09-29,6.8800,6.9800,6.8500,6.9300
600028,中国石化,2011-09-30,6.9400,6.9700,6.8900,6.9300
600028,中国石化,2011-10-10,6.9300,6.9500,6.8800,6.9000
600028,中国石化,2011-10-11,6.9800,7.0100,6.8000,6.8600
600028,中国石化,2011-10-13,6.9800,7.0600,6.9300,7.0400
600028,中国石化,2011-10-14,7.0200,7.0700,6.9800,7.0500
600028,中国石化,2011-10-17,7.0400,7.1000,7.0300,7.0900
600028,中国石化,2011-10-18,7.0500,7.0600,6.9500,6.9500
600028,中国石化,2011-10-19,6.9700,7.0300,6.9400,6.9700
600028,中国石化,2011-10-20,6.9200,6.9800,6.9000,6.9500
600028,中国石化,2011-10-21,6.9600,6.9800,6.8700,6.9000
600028,中国石化,2011-10-24,6.9100,7.0700,6.8900,7.0600
600028,中国石化,2011-10-25,7.0500,7.1400,7.0000,7.1100
600028,中国石化,2011-10-26,7.0900,7.1600,7.0600,7.1100
600028,中国石化,2011-10-27,7.1300,7.1700,7.1100,7.1300
600028,中国石化,2011-10-28,7.1800,7.2200,7.1000,7.2100
600028,中国石化,2011-10-31,7.2000,7.2000,7.1100,7.1400
600028,中国石化,2011-11-01,7.1000,7.2000,7.0900,7.1500
600028,中国石化,2011-11-02,7.1000,7.2400,7.0700,7.2400
600028,中国石化,2011-11-03,7.2400,7.2800,7.2100,7.2200
600028,中国石化,2011-11-04,7.2700,7.4800,7.2600,7.4100
600028,中国石化,2011-11-07,7.3900,7.5600,7.3600,7.4300
600028,中国石化,2011-11-08,7.4300,7.6600,7.4000,7.5900
600028,中国石化,2011-11-09,7.5800,7.6600,7.4900,7.5500
600028,中国石化,2011-11-10,7.4800,7.5100,7.4000,7.4100
600028,中国石化,2011-11-11,7.4000,7.5500,7.4000,7.5000
600028,中国石化,2011-11-14,7.5500,7.6400,7.5400,7.5900
600028,中国石化,2011-11-15,7.5800,7.6100,7.5100,7.6000
600028,中国石化,2011-11-16,7.5500,7.5700,7.3400,7.3600
600028,中国石化,2011-11-17,7.3900,7.4200,7.3400,7.3500
600028,中国石化,2011-11-18,7.3200,7.3200,7.2200,7.2300
600028,中国石化,2011-11-21,7.2400,7.3000,7.2300,7.2900
600028,中国石化,2011-11-22,7.2400,7.3200,7.2100,7.2900
600028,中国石化,2011-11-23,7.3000,7.3000,7.2300,7.2600
600028,中国石化,2011-11-24,7.2100,7.3100,7.1900,7.3000
600028,中国石化,2011-11-25,7.2800,7.3000,7.2300,7.2600
600028,中国石化,2011-11-28,7.2600,7.3100,7.2400,7.2400
600028,中国石化,2011-11-29,7.2900,7.3600,7.2400,7.3300
600028,中国石化,2011-11-30,7.3100,7.3200,7.0900,7.1000
600028,中国石化,2011-12-01,7.2500,7.4100,7.1700,7.3000
600028,中国石化,2011-12-02,7.2800,7.3300,7.1300,7.1900
600028,中国石化,2011-12-05,7.2100,7.3000,7.1400,7.2700
600028,中国石化,2011-12-06,7.2500,7.4100,7.2500,7.4100
600028,中国石化,2011-12-07,7.4300,7.4900,7.4000,7.4700
600028,中国石化,2011-12-08,7.4700,7.5000,7.3800,7.4200
600028,中国石化,2011-12-09,7.4000,7.4400,7.3300,7.4000
600028,中国石化,2011-12-12,7.3800,7.3800,7.2300,7.2300
600028,中国石化,2011-12-13,7.2400,7.2700,7.0800,7.1400
600028,中国石化,2011-12-14,7.1400,7.1400,6.9800,7.0800
600028,中国石化,2011-12-16,7.0200,7.2800,6.9900,7.2000
600028,中国石化,2011-12-19,7.1500,7.1600,6.9900,7.0900
600028,中国石化,2011-12-20,7.0600,7.2600,7.0500,7.1300
600028,中国石化,2011-12-21,7.1800,7.2200,7.0700,7.1100
600028,中国石化,2011-12-22,7.0700,7.1400,6.9900,7.0300
600028,中国石化,2011-12-23,7.0400,7.1300,7.0300,7.1000
600028,中国石化,2011-12-26,7.0500,7.1600,7.0300,7.1400
600028,中国石化,2011-12-27,7.1300,7.1500,7.0300,7.0700
600028,中国石化,2011-12-28,7.0400,7.1600,7.0400,7.1100
600028,中国石化,2011-12-29,7.1000,7.1700,7.0700,7.1300
600028,中国石化,2011-12-30,7.1800,7.2100,7.1100,7.1800
600028,中国石化,2012-01-04,7.2800,7.4400,7.2700,7.3600
600028,中国石化,2012-01-05,7.3200,7.5100,7.3000,7.4200
600028,中国石化,2012-01-06,7.5000,7.5500,7.3500,7.4800
600028,中国石化,2012-01-09,7.5000,7.8000,7.4100,7.7500
600028,中国石化,2012-01-10,7.6500,7.8300,7.6000,7.7900
600028,中国石化,2012-01-11,7.7900,7.8700,7.6600,7.7000
600028,中国石化,2012-01-12,7.6900,7.7400,7.6100,7.6600
600028,中国石化,2012-01-13,7.6800,7.6900,7.5500,7.6200
600028,中国石化,2012-01-16,7.6100,7.6200,7.5200,7.5400
600028,中国石化,2012-01-17,7.5300,7.9000,7.4800,7.7400
600028,中国石化,2012-01-18,7.7300,7.7500,7.5600,7.5800
600028,中国石化,2012-01-19,7.6000,7.7400,7.5900,7.6600
600028,中国石化,2012-01-20,7.6600,7.7500,7.6300,7.7400
600028,中国石化,2012-01-30,7.7600,7.8400,7.6500,7.7000
600028,中国石化,2012-01-31,7.7100,7.7700,7.6900,7.7600
600028,中国石化,2012-02-01,7.7500,7.9300,7.7200,7.7900
