Stkcd,Lstknm,TrdDt,OpPr,HiPr,LoPr,ClPr,TrdVol
600887,伊利股份,2016-01-04,16.3400,16.3400,15.0800,15.1700,71960631
600887,伊利股份,2016-01-05,14.9100,15.7000,14.9100,15.4900,110693714
600887,伊利股份,2016-01-06,15.4700,15.6300,15.1800,15.5400,70373718
600887,伊利股份,2016-01-07,15.3000,15.3000,14.3500,14.5000,20100457
600887,伊利股份,2016-01-08,15.0000,15.1500,14.1700,14.9200,108403246
600887,伊利股份,2016-01-11,14.6300,14.8000,14.3000,14.4200,84771328
600887,伊利股份,2016-01-12,14.5800,14.7600,14.3300,14.6200,55131579
600887,伊利股份,2016-01-13,14.7400,14.9400,14.3200,14.4000,45180376
600887,伊利股份,2016-01-14,14.0500,14.7000,13.9700,14.6300,68152743
600887,伊利股份,2016-01-15,14.5100,14.6700,14.1500,14.2700,44778420
600887,伊利股份,2016-01-18,14.0600,14.5200,14.0200,14.2600,36351861
600887,伊利股份,2016-01-19,14.2600,14.7000,14.1800,14.6800,52377996
600887,伊利股份,2016-01-20,14.6000,14.8500,14.2500,14.3100,47178530
600887,伊利股份,2016-01-21,14.1600,14.4500,13.9800,14.0000,47822307
600887,伊利股份,2016-01-22,14.1800,14.2300,13.6900,14.0000,47291521
600887,伊利股份,2016-01-25,14.0300,14.1500,13.8600,14.0100,32842426
600887,伊利股份,2016-01-26,13.9000,13.9000,12.9500,12.9800,69736044
600887,伊利股份,2016-01-27,13.0300,13.1600,12.5100,13.0100,64732319
600887,伊利股份,2016-01-28,12.9500,13.1800,12.8200,12.8400,41360819
600887,伊利股份,2016-01-29,12.8500,13.5100,12.8100,13.3400,52826265
600887,伊利股份,2016-02-01,13.4000,13.4800,13.0800,13.2300,28667559
600887,伊利股份,2016-02-02,13.2500,13.5600,13.2500,13.4500,26834722
600887,伊利股份,2016-02-03,13.3300,13.3800,13.1800,13.3100,20363846
600887,伊利股份,2016-02-04,13.3500,13.5900,13.3300,13.4500,25690462
600887,伊利股份,2016-02-05,13.4600,13.5100,13.3500,13.3600,16648320
600887,伊利股份,2016-02-15,13.0000,13.2500,12.9000,13.1600,20027049
600887,伊利股份,2016-02-16,13.2400,13.6200,13.2400,13.5300,33658539
600887,伊利股份,2016-02-17,13.5200,13.8900,13.4800,13.7600,39683813
600887,伊利股份,2016-02-18,13.7800,13.8400,13.6000,13.6300,28613689
600887,伊利股份,2016-02-19,13.6300,13.6700,13.4700,13.5500,20426387
600887,伊利股份,2016-02-22,13.7000,13.8900,13.6000,13.8400,41792096
600887,伊利股份,2016-02-23,13.8600,13.8700,13.5800,13.6600,29003886
600887,伊利股份,2016-02-24,13.6200,13.9700,13.4900,13.8900,44162178
600887,伊利股份,2016-02-25,13.8900,13.8900,12.8800,12.9700,58028852
600887,伊利股份,2016-02-26,13.0100,13.1700,12.9200,13.0900,36214156
600887,伊利股份,2016-02-29,13.1400,13.1700,12.6000,12.9900,52536301
600887,伊利股份,2016-03-01,13.0600,13.2000,12.7000,13.1700,31988106
600887,伊利股份,2016-03-02,13.2100,13.6700,13.1500,13.6300,61181241
600887,伊利股份,2016-03-03,13.6000,13.8800,13.5000,13.8500,64104557
600887,伊利股份,2016-03-04,13.8700,14.4500,13.6100,14.3500,130657666
600887,伊利股份,2016-03-07,14.2000,14.4900,14.1000,14.2200,47943635
600887,伊利股份,2016-03-08,14.1800,14.1800,13.6600,13.9700,41675420
600887,伊利股份,2016-03-09,13.7400,13.7700,13.4000,13.5600,46665038
600887,伊利股份,2016-03-10,13.5400,13.6600,13.4200,13.4300,28027526
600887,伊利股份,2016-03-11,13.3600,13.4900,13.2700,13.3600,23864334
600887,伊利股份,2016-03-14,13.4600,13.7200,13.3700,13.6000,46255072
600887,伊利股份,2016-03-15,13.5900,14.2900,13.5100,14.2500,79942097
600887,伊利股份,2016-03-16,14.0700,14.4400,13.9100,13.9400,50635997
600887,伊利股份,2016-03-17,13.9500,14.2100,13.9000,14.1000,41194883
600887,伊利股份,2016-03-18,14.1200,14.4500,14.1200,14.2900,51818778
600887,伊利股份,2016-03-21,14.4200,14.8500,14.3000,14.5900,62617183
600887,伊利股份,2016-03-22,14.5300,14.5400,14.3500,14.3900,33039124
600887,伊利股份,2016-03-23,14.4000,14.6700,14.3800,14.5200,31598585
600887,伊利股份,2016-03-24,14.5000,14.5000,14.1100,14.1200,51178903
600887,伊利股份,2016-03-25,14.1100,14.2500,14.0500,14.1700,20469361
600887,伊利股份,2016-03-28,14.2400,14.5400,14.0800,14.1000,41823691
600887,伊利股份,2016-03-29,14.1600,14.1600,13.9000,13.9400,27489687
600887,伊利股份,2016-03-30,14.0300,14.3600,14.0300,14.3000,37363333
600887,伊利股份,2016-03-31,14.5100,14.7500,14.3800,14.5700,75896202
600887,伊利股份,2016-04-01,14.5700,14.6300,14.2600,14.4700,53930482
600887,伊利股份,2016-04-05,14.4500,14.8300,14.3600,14.7000,61705662
600887,伊利股份,2016-04-06,14.6900,14.7800,14.5500,14.6500,36698764
600887,伊利股份,2016-04-07,14.7100,14.8100,14.4300,14.4400,33672750
600887,伊利股份,2016-04-08,14.4300,14.4400,14.2300,14.3400,27789121
600887,伊利股份,2016-04-11,14.4900,14.5800,14.4300,14.5200,33155486
600887,伊利股份,2016-04-12,14.5200,14.5400,14.3700,14.4400,21092722
600887,伊利股份,2016-04-13,14.5000,14.8400,14.4000,14.4900,78324751
600887,伊利股份,2016-04-14,14.5600,14.6800,14.5200,14.6100,23571246
600887,伊利股份,2016-04-15,14.6900,14.6900,14.5100,14.5600,27174100
600887,伊利股份,2016-04-18,14.5400,14.5400,14.3600,14.3900,25104417
600887,伊利股份,2016-04-19,14.4600,14.5400,14.4100,14.4900,27094602
600887,伊利股份,2016-04-20,14.5300,14.6700,13.9800,14.1300,67410265
600887,伊利股份,2016-04-21,14.1400,14.2100,14.0600,14.0700,25544285
600887,伊利股份,2016-04-22,14.0600,14.2100,14.0100,14.1900,19894832
600887,伊利股份,2016-04-25,14.2100,14.2100,14.0100,14.1900,15448695
600887,伊利股份,2016-04-26,14.1700,14.2900,14.0800,14.2000,15435652
600887,伊利股份,2016-04-27,14.2000,14.5300,14.1600,14.3900,30558275
600887,伊利股份,2016-04-28,14.4200,14.7700,14.4200,14.6400,59812402
600887,伊利股份,2016-04-29,14.7000,15.2600,14.6700,15.0300,94620041
600887,伊利股份,2016-05-03,15.1000,15.6300,15.0700,15.3900,97930434
600887,伊利股份,2016-05-04,15.4000,15.4700,15.1000,15.2100,52710757
600887,伊利股份,2016-05-05,15.2100,15.5500,15.1600,15.3900,45182451
600887,伊利股份,2016-05-06,15.0000,15.0300,14.5200,14.5500,54405541
600887,伊利股份,2016-05-09,14.4200,14.7500,14.2500,14.5900,41753247
600887,伊利股份,2016-05-10,14.5000,15.4400,14.4800,15.2700,80760278
600887,伊利股份,2016-05-11,15.3000,15.6900,15.1400,15.4300,99794246
600887,伊利股份,2016-05-12,15.3700,15.6500,15.0300,15.3000,49610600
600887,伊利股份,2016-05-13,15.3100,15.5200,14.9500,15.0600,44987143
600887,伊利股份,2016-05-16,15.0000,15.4900,14.8800,15.4800,42195260
600887,伊利股份,2016-05-17,15.4500,15.5800,15.1700,15.3500,30750991
600887,伊利股份,2016-05-18,15.2200,15.5600,15.0600,15.1300,47165087
600887,伊利股份,2016-05-19,15.1000,15.3500,15.0900,15.1900,20652598
600887,伊利股份,2016-05-20,15.1000,15.4200,15.0700,15.3700,25836216
600887,伊利股份,2016-05-23,15.4000,15.7400,15.3500,15.4200,31047635
600887,伊利股份,2016-05-24,15.4400,15.5200,15.2000,15.2600,14944663
600887,伊利股份,2016-05-25,15.3200,15.3900,15.0100,15.0700,30876538
600887,伊利股份,2016-05-26,15.0800,15.1200,14.8000,15.0500,27417080
