Stkcd,Lstknm,TrdDt,Oppr,Hipr,Lopr,Clpr,Trdvol
000509,华塑控股,2001-01-02,14.1800,14.5500,14.1500,14.5400,508350
000509,华塑控股,2001-01-03,14.4500,15.1200,14.3100,14.8300,2983507
000509,华塑控股,2001-01-04,14.8400,14.9000,14.7200,14.7900,555850
000509,华塑控股,2001-01-05,14.7800,14.8000,14.2800,14.3600,1464319
000509,华塑控股,2001-01-08,14.3000,14.3000,13.7900,13.8700,1662023
000509,华塑控股,2001-01-09,13.8000,14.8900,13.7500,14.5900,3684441
000509,华塑控股,2001-01-10,14.5900,14.6000,14.3000,14.3900,602764
000509,华塑控股,2001-01-11,14.4000,14.5000,14.2400,14.4000,577199
000509,华塑控股,2001-01-12,14.4000,14.4500,14.2000,14.2400,328935
000509,华塑控股,2001-01-15,14.3000,14.3000,13.9500,13.9800,443727
000509,华塑控股,2001-01-16,13.7000,14.0800,13.5100,13.9900,237785
000509,华塑控股,2001-01-17,14.0200,14.0200,13.8100,13.8500,209889
000509,华塑控股,2001-01-18,14.0000,14.0500,13.7800,13.8500,310593
000509,华塑控股,2001-01-19,13.8500,14.4800,13.8000,14.0000,158253
000509,华塑控股,2001-02-05,14.1000,14.1000,13.8200,13.8400,207285
000509,华塑控股,2001-02-06,13.8400,13.8400,13.0000,13.4500,499650
000509,华塑控股,2001-02-07,13.4800,13.5000,13.2500,13.2800,142150
000509,华塑控股,2001-02-08,13.2500,13.2700,12.9800,12.9900,258100
000509,华塑控股,2001-02-09,13.0000,13.4800,13.0000,13.4200,511934
000509,华塑控股,2001-02-12,13.4200,13.4200,13.0200,13.0900,315367
000509,华塑控股,2001-02-13,13.0900,13.1100,12.7800,12.9500,525335
000509,华塑控股,2001-02-14,13.0000,13.0000,12.8500,12.9600,200800
000509,华塑控股,2001-02-15,12.9600,13.1000,12.8800,12.9300,197768
000509,华塑控股,2001-02-16,12.9300,12.9600,12.7000,12.9500,353145
000509,华塑控股,2001-02-19,12.8800,13.0500,12.8600,13.0200,413802
000509,华塑控股,2001-02-20,13.0500,13.3700,12.9000,12.9800,221700
000509,华塑控股,2001-02-21,12.9100,12.9100,12.2000,12.4800,329190
000509,华塑控股,2001-02-22,12.3000,12.3500,12.0000,12.0000,225170
000509,华塑控股,2001-02-23,12.0000,12.0000,11.5100,11.8000,446274
000509,华塑控股,2001-02-26,11.8000,12.2000,11.8000,12.0700,237300
000509,华塑控股,2001-02-27,12.2000,12.3000,12.0500,12.2500,213011
000509,华塑控股,2001-02-28,12.4400,12.4400,12.0500,12.2100,207819
000509,华塑控股,2001-03-01,12.2200,12.2800,12.1000,12.1300,276779
000509,华塑控股,2001-03-02,12.2000,12.3500,12.1000,12.3500,275242
000509,华塑控股,2001-03-05,12.3500,12.7800,12.2900,12.7300,447129
000509,华塑控股,2001-03-06,12.8000,12.8000,12.6000,12.6400,324470
000509,华塑控股,2001-03-07,12.7500,12.9500,12.6400,12.7000,138900
