StkCd,LStkNm,TrdDt,OpPr,HiPr,LoPr,ClPr
600005,武钢股份,2011-01-04,4.3100,4.3700,4.2500,4.3700
600005,武钢股份,2011-01-05,4.3400,4.3400,4.3000,4.3200
600005,武钢股份,2011-01-06,4.3200,4.3500,4.3000,4.3200
600005,武钢股份,2011-01-07,4.3100,4.4400,4.2900,4.3700
600005,武钢股份,2011-01-10,4.3700,4.4000,4.3300,4.3400
600005,武钢股份,2011-01-11,4.3300,4.4100,4.3200,4.3900
600005,武钢股份,2011-01-12,4.3900,4.4900,4.3700,4.4500
600005,武钢股份,2011-01-13,4.4600,4.4700,4.3800,4.4100
600005,武钢股份,2011-01-14,4.3800,4.3900,4.3200,4.3500
600005,武钢股份,2011-01-17,4.3300,4.3600,4.2400,4.2500
600005,武钢股份,2011-01-18,4.2500,4.2600,4.2100,4.2400
600005,武钢股份,2011-01-19,4.2500,4.3000,4.2300,4.2800
600005,武钢股份,2011-01-20,4.2900,4.3100,4.1900,4.2000
600005,武钢股份,2011-01-21,4.1900,4.3300,4.1900,4.2600
600005,武钢股份,2011-01-24,4.2700,4.3100,4.2500,4.2600
600005,武钢股份,2011-01-25,4.2700,4.4300,4.2700,4.3100
600005,武钢股份,2011-01-26,4.3100,4.3700,4.2900,4.3400
600005,武钢股份,2011-01-27,4.3000,4.3800,4.2600,4.3700
600005,武钢股份,2011-01-28,4.3600,4.3700,4.3300,4.3700
600005,武钢股份,2011-01-31,4.3500,4.4300,4.3500,4.4000
600005,武钢股份,2011-02-01,4.4300,4.4300,4.3500,4.3800
600005,武钢股份,2011-02-09,4.3700,4.3900,4.3200,4.3200
600005,武钢股份,2011-02-10,4.3100,4.4200,4.3000,4.4000
600005,武钢股份,2011-02-11,4.4000,4.4700,4.3800,4.4700
600005,武钢股份,2011-02-14,4.4800,4.6200,4.4800,4.5800
600005,武钢股份,2011-02-15,4.6200,4.6300,4.5300,4.5300
600005,武钢股份,2011-02-16,4.5500,4.6500,4.5300,4.6000
600005,武钢股份,2011-02-17,4.6300,4.7900,4.6200,4.6900
600005,武钢股份,2011-02-18,4.7200,4.7400,4.6300,4.6900
600005,武钢股份,2011-02-21,4.6500,4.8600,4.6100,4.8500
600005,武钢股份,2011-02-22,4.8500,4.8900,4.7300,4.7600
600005,武钢股份,2011-02-23,4.7400,4.7500,4.6400,4.6700
600005,武钢股份,2011-02-24,4.6500,4.6700,4.5900,4.6500
600005,武钢股份,2011-02-25,4.6500,4.6600,4.5900,4.6300
600005,武钢股份,2011-02-28,4.6400,4.6800,4.5900,4.6700
600005,武钢股份,2011-03-01,4.6800,4.7000,4.6300,4.6700
600005,武钢股份,2011-03-02,4.6500,4.6500,4.5100,4.5700
600005,武钢股份,2011-03-03,4.5500,4.6200,4.5400,4.5600
600005,武钢股份,2011-03-04,4.5700,4.7200,4.5700,4.6800
600005,武钢股份,2011-03-07,4.6800,4.7700,4.6500,4.7700
600005,武钢股份,2011-03-08,4.7500,4.7700,4.7000,4.7500
600005,武钢股份,2011-03-09,4.7500,4.7800,4.6900,4.7000
600005,武钢股份,2011-03-10,4.6900,4.7000,4.6100,4.6200
600005,武钢股份,2011-03-11,4.6000,4.6300,4.5600,4.5900
600005,武钢股份,2011-03-14,4.6600,4.7700,4.6600,4.6800
600005,武钢股份,2011-03-15,4.7300,4.9800,4.6300,4.9600
600005,武钢股份,2011-03-16,4.9500,5.1300,4.8500,5.0500
600005,武钢股份,2011-03-17,5.0000,5.0100,4.8400,4.8600
600005,武钢股份,2011-03-18,4.9300,4.9500,4.8000,4.8200
600005,武钢股份,2011-03-21,4.8500,4.8700,4.7600,4.8000
600005,武钢股份,2011-03-22,4.8000,4.8200,4.7000,4.7800
600005,武钢股份,2011-03-23,4.7800,4.7800,4.6800,4.7300
600005,武钢股份,2011-03-24,4.7100,4.7200,4.6600,4.6800
600005,武钢股份,2011-03-25,4.6800,4.7500,4.6700,4.7300
600005,武钢股份,2011-04-07,4.6500,4.6700,4.5300,4.6100
600005,武钢股份,2011-04-08,4.6100,4.7500,4.5600,4.7100
600005,武钢股份,2011-04-11,4.7200,4.8900,4.6500,4.7900
600005,武钢股份,2011-04-12,4.7700,5.1900,4.7300,5.0200
600005,武钢股份,2011-04-13,4.9100,4.9800,4.8200,4.9200
600005,武钢股份,2011-04-14,4.9400,5.0200,4.8500,4.8800
600005,武钢股份,2011-04-15,4.8600,4.8600,4.7300,4.8200
600005,武钢股份,2011-04-18,4.7900,4.9100,4.7500,4.8800
