StkCd,LStkNm,TrdDt,OpPr,HiPr,LoPr,ClPr
600000,浦发银行,2011-01-04,12.4200,12.6800,12.3000,12.6100
600000,浦发银行,2011-01-05,12.7000,12.9100,12.6300,12.7100
600000,浦发银行,2011-01-06,12.7300,12.8900,12.6000,12.6700
600000,浦发银行,2011-01-07,12.6900,13.5100,12.5800,13.2300
600000,浦发银行,2011-01-10,13.1100,13.3400,12.9300,13.0700
600000,浦发银行,2011-01-11,13.0000,13.4200,13.0000,13.4000
600000,浦发银行,2011-01-12,13.4400,13.5000,13.2100,13.4900
600000,浦发银行,2011-01-13,13.4900,13.5500,13.3300,13.3400
600000,浦发银行,2011-01-14,13.2900,13.2900,13.0700,13.1400
600000,浦发银行,2011-01-17,12.9700,13.1000,12.4100,12.6100
600000,浦发银行,2011-01-18,12.5700,12.7800,12.5200,12.6900
600000,浦发银行,2011-01-19,12.7000,12.8300,12.5800,12.8200
600000,浦发银行,2011-01-20,12.7700,12.8100,12.4700,12.4800
600000,浦发银行,2011-01-21,12.4900,13.1800,12.4800,12.7500
600000,浦发银行,2011-01-24,12.7200,12.8500,12.6100,12.7400
600000,浦发银行,2011-01-25,12.7500,12.9500,12.6700,12.8700
600000,浦发银行,2011-01-26,12.9000,12.9300,12.8200,12.8800
600000,浦发银行,2011-01-27,12.7500,12.8700,12.5100,12.8300
600000,浦发银行,2011-01-28,12.7700,12.8400,12.5900,12.6900
600000,浦发银行,2011-01-31,12.7000,12.7800,12.6000,12.7200
600000,浦发银行,2011-02-01,12.7300,12.7700,12.6500,12.7600
600000,浦发银行,2011-02-09,12.7100,12.8300,12.5900,12.6300
600000,浦发银行,2011-02-10,12.6100,12.7900,12.5700,12.7700
600000,浦发银行,2011-02-11,12.7500,12.7800,12.6300,12.7500
600000,浦发银行,2011-02-14,12.7300,13.2000,12.7200,13.1400
600000,浦发银行,2011-02-15,13.1500,13.2000,13.0000,13.0300
600000,浦发银行,2011-02-16,12.9800,13.0200,12.8800,12.9600
600000,浦发银行,2011-02-17,13.0400,13.2100,12.9800,13.0800
600000,浦发银行,2011-02-18,13.0400,13.1800,12.9100,13.0400
600000,浦发银行,2011-02-21,12.9300,13.0200,12.8600,13.0100
600000,浦发银行,2011-02-22,12.9900,12.9900,12.6000,12.6500
600000,浦发银行,2011-02-23,12.6200,12.7300,12.5100,12.6100
600000,浦发银行,2011-02-24,12.6000,12.6100,12.4800,12.6000
600000,浦发银行,2011-02-25,12.5900,12.7600,12.5200,12.6500
600000,浦发银行,2011-02-28,12.6500,12.7400,12.5500,12.7100
600000,浦发银行,2011-03-01,12.7300,13.0100,12.7300,12.9500
600000,浦发银行,2011-03-02,12.8800,13.3400,12.8300,13.1800
600000,浦发银行,2011-03-03,13.1800,13.7900,13.1800,13.4500
600000,浦发银行,2011-03-04,13.3900,13.5900,13.3300,13.5600
600000,浦发银行,2011-03-07,13.5800,13.8200,13.4700,13.6100
600000,浦发银行,2011-03-08,13.5900,13.8200,13.5400,13.6300
600000,浦发银行,2011-03-09,13.6800,13.7900,13.5800,13.6100
600000,浦发银行,2011-03-10,13.5700,13.5700,13.2100,13.2400
600000,浦发银行,2011-03-11,13.2200,13.2900,13.0200,13.1000
600000,浦发银行,2011-03-14,13.0900,13.2100,13.0700,13.1200
600000,浦发银行,2011-03-15,13.0800,13.0800,12.7400,12.9100
