,open,high,low,close,volume,money
2005-01-31,1210.76,1210.76,1190.17,1191.82,907806200.00,4668009630.00
2005-02-01,1189.50,1203.07,1187.26,1188.93,934022200.00,4907930781.00
2005-02-02,1189.50,1253.16,1189.50,1252.50,1905406200.00,10397266956.00
2005-02-03,1253.81,1269.15,1236.18,1242.31,2041522500.00,10897290873.00
2005-02-04,1238.61,1274.12,1235.64,1269.00,1702829300.00,9664344703.00
2005-02-16,1276.02,1291.46,1270.32,1278.88,1444545500.00,7980113925.00
2005-02-17,1280.03,1280.03,1263.71,1276.13,1121861200.00,6103111134.00
2005-02-18,1275.66,1278.62,1258.56,1258.97,1068805000.00,5785501661.00
2005-02-21,1259.53,1284.94,1259.51,1284.48,1253692200.00,6930691886.00
2005-02-22,1285.63,1312.53,1282.78,1309.28,2260281500.00,12773513576.00
2005-02-23,1309.62,1316.59,1299.15,1309.47,2418912700.00,13699232367.00
2005-02-24,1307.04,1310.97,1296.98,1309.95,2011581500.00,11356347739.00
2005-02-25,1311.37,1328.53,1311.20,1312.44,2406961000.00,13978978564.00
2005-02-28,1311.44,1315.14,1298.93,1306.00,1765143200.00,10244600541.00
2005-03-01,1305.25,1308.76,1295.64,1303.41,1398095200.00,7981055197.00
2005-03-02,1303.31,1316.72,1285.92,1287.45,1862863500.00,10749393259.00
2005-03-03,1285.20,1295.25,1276.88,1294.34,1282360900.00,6981237940.00
2005-03-04,1294.16,1299.60,1286.48,1287.71,1104995800.00,6269241707.00
2005-03-07,1288.41,1296.88,1287.74,1293.74,1076224600.00,6283006027.00
2005-03-08,1298.25,1318.89,1296.91,1318.27,1798439800.00,11159503108.00
2005-03-09,1321.21,1326.08,1310.23,1316.79,2056718700.00,12224773496.00
2005-03-10,1316.90,1316.90,1282.53,1286.23,1789766900.00,10537289289.00
2005-03-11,1284.51,1292.53,1278.15,1289.94,1499671400.00,9039329495.00
2005-03-14,1288.98,1304.11,1271.51,1293.50,1869250200.00,11968377523.00
2005-03-15,1293.13,1293.26,1266.64,1269.14,1564271900.00,9678243152.00
