StkCd,LStkNm,TrdDt,OpPr,HiPr,LoPr,ClPr
600030,中信证券,2011-01-04,12.7000,13.0700,12.5300,12.9500
600030,中信证券,2011-01-05,12.8100,12.8800,12.6000,12.7200
600030,中信证券,2011-01-06,12.7600,12.9500,12.6000,12.6500
600030,中信证券,2011-01-07,12.6000,13.0600,12.3800,12.7700
600030,中信证券,2011-01-10,12.6800,12.8200,12.4000,12.4300
600030,中信证券,2011-01-11,12.3800,12.5800,12.3500,12.5400
600030,中信证券,2011-01-12,12.6100,12.7600,12.4300,12.6800
600030,中信证券,2011-01-13,12.7500,12.7800,12.4900,12.5900
600030,中信证券,2011-01-14,12.5000,12.5400,12.2600,12.3200
600030,中信证券,2011-01-17,12.3500,12.4200,11.7300,11.8500
600030,中信证券,2011-01-18,11.8000,11.9400,11.7500,11.8300
600030,中信证券,2011-01-19,11.8400,12.0200,11.7100,12.0100
600030,中信证券,2011-01-20,11.9800,11.9800,11.5700,11.6000
600030,中信证券,2011-01-21,11.6000,12.1400,11.5600,11.8700
600030,中信证券,2011-01-24,11.8800,11.8800,11.6200,11.6800
600030,中信证券,2011-01-25,11.6800,11.8500,11.6000,11.8300
600030,中信证券,2011-01-26,11.7800,11.9300,11.7600,11.9100
600030,中信证券,2011-01-27,11.8500,12.4900,11.7500,12.3500
600030,中信证券,2011-01-28,12.4500,12.6000,12.2500,12.4700
600030,中信证券,2011-01-31,12.4500,12.6500,12.3600,12.5400
600030,中信证券,2011-02-01,12.5700,12.6200,12.3500,12.3700
600030,中信证券,2011-02-09,12.3300,12.6100,12.2000,12.2800
600030,中信证券,2011-02-10,12.2400,12.6500,12.1900,12.6400
600030,中信证券,2011-02-11,12.6000,12.7500,12.4500,12.5700
600030,中信证券,2011-02-14,12.4000,13.8300,12.3800,13.8300
600030,中信证券,2011-02-15,13.9300,14.4900,13.8000,13.8300
600030,中信证券,2011-02-16,13.9000,14.0100,13.7000,13.9900
600030,中信证券,2011-02-17,14.0300,14.1000,13.6500,13.7700
600030,中信证券,2011-02-18,13.7500,14.0100,13.5300,13.7100
600030,中信证券,2011-02-21,13.7000,14.2800,13.6100,14.1700
600030,中信证券,2011-02-22,14.2500,14.2900,13.5100,13.5300
600030,中信证券,2011-02-23,13.4600,13.6600,13.3600,13.5200
600030,中信证券,2011-02-24,13.4800,14.3400,13.4000,13.9700
600030,中信证券,2011-02-25,13.9700,14.4500,13.7700,14.3000
600030,中信证券,2011-02-28,14.3400,14.8500,14.0300,14.7100
600030,中信证券,2011-03-01,14.6700,15.1900,14.6000,14.7400
600030,中信证券,2011-03-02,14.5600,14.7200,14.3000,14.5700
600030,中信证券,2011-03-03,14.6400,14.9100,14.4400,14.4600
600030,中信证券,2011-03-04,14.5000,14.9900,14.3500,14.9000
600030,中信证券,2011-03-07,14.9400,15.5000,14.9200,15.3800
600030,中信证券,2011-03-08,15.4100,15.5300,15.0800,15.2700
600030,中信证券,2011-03-09,15.3400,15.5600,15.0800,15.1900
600030,中信证券,2011-03-10,15.2200,15.2200,14.5800,14.5900
600030,中信证券,2011-03-11,14.4600,14.7100,14.3300,14.3700
600030,中信证券,2011-03-14,14.2600,14.4300,13.9900,14.4100
600030,中信证券,2011-03-15,14.2900,14.3200,13.6800,13.9600
600030,中信证券,2011-03-16,14.0600,14.4600,13.9800,14.3600
600030,中信证券,2011-03-17,14.0800,14.2200,13.7500,13.9000
600030,中信证券,2011-03-18,14.1000,14.3500,13.9800,14.0600
600030,中信证券,2011-03-21,14.1000,14.1900,13.8700,13.9600
600030,中信证券,2011-03-22,14.0700,14.1900,13.7400,14.0400
600030,中信证券,2011-03-29,14.4000,14.7700,14.2000,14.2800
600030,中信证券,2011-03-30,14.2900,14.3800,13.6800,13.8700
600030,中信证券,2011-03-31,13.8600,14.3500,13.8500,13.9700
600030,中信证券,2011-04-01,13.9800,14.3300,13.9500,14.3000
600030,中信证券,2011-04-06,14.2600,14.9800,14.1700,14.7300
600030,中信证券,2011-04-07,14.7300,14.7700,14.5200,14.6100
600030,中信证券,2011-04-08,14.6000,14.8500,14.5300,14.8000
600030,中信证券,2011-04-11,14.8900,15.1000,14.5700,14.6000
600030,中信证券,2011-04-12,14.5800,14.7200,14.4300,14.5300
600030,中信证券,2011-04-14,14.8800,15.0000,14.5600,14.6200
600030,中信证券,2011-04-15,14.5200,15.0200,14.5200,14.8300
600030,中信证券,2011-04-18,14.7500,14.9800,14.6500,14.7900
600030,中信证券,2011-04-19,14.6200,14.6500,14.2000,14.2100
600030,中信证券,2011-04-20,14.3000,14.3500,14.1000,14.1800
600030,中信证券,2011-04-21,14.2900,14.7100,14.1500,14.4800
600030,中信证券,2011-04-22,14.4600,14.4600,14.1900,14.2200
600030,中信证券,2011-04-25,14.2000,14.2000,13.8600,13.8900
600030,中信证券,2011-04-26,13.8800,13.9800,13.4100,13.4300
600030,中信证券,2011-04-27,13.5500,13.5800,13.1900,13.4000
600030,中信证券,2011-04-28,13.4800,13.6000,13.2000,13.2300
600030,中信证券,2011-05-03,13.2900,13.4000,13.1200,13.3300
600030,中信证券,2011-05-04,13.2500,13.2500,12.6700,12.7000
600030,中信证券,2011-05-05,12.6800,12.8300,12.6500,12.6900
600030,中信证券,2011-05-06,12.6000,12.7000,12.4300,12.6200
600030,中信证券,2011-05-09,12.7000,12.8300,12.6300,12.6900
600030,中信证券,2011-05-10,12.7100,12.9500,12.6200,12.9300
600030,中信证券,2011-05-11,12.9100,12.9700,12.7200,12.7800
600030,中信证券,2011-05-12,12.6200,12.9600,12.6000,12.8300
600030,中信证券,2011-05-13,12.8400,13.2000,12.7600,13.1000
600030,中信证券,2011-05-16,13.0800,13.2300,12.9600,12.9900
600030,中信证券,2011-05-17,12.9200,13.2500,12.7000,13.0200
600030,中信证券,2011-05-18,13.0000,13.1500,12.9400,13.0500
600030,中信证券,2011-05-19,13.0800,13.1000,12.8400,12.8600
600030,中信证券,2011-05-20,12.8600,12.9800,12.7900,12.8800
600030,中信证券,2011-05-23,12.8700,12.8700,12.3900,12.4100
600030,中信证券,2011-05-24,12.4000,12.4900,12.2800,12.3700
600030,中信证券,2011-05-25,12.4000,12.4500,12.2200,12.2400
600030,中信证券,2011-05-26,12.3300,12.8000,12.3300,12.4300
600030,中信证券,2011-05-27,12.4300,12.7300,12.4100,12.5100
600030,中信证券,2011-05-30,12.4500,12.7500,12.3000,12.5900
600030,中信证券,2011-05-31,12.6200,12.8600,12.5900,12.8500
600030,中信证券,2011-06-01,12.7500,12.8500,12.6600,12.7400
600030,中信证券,2011-06-02,12.6000,12.6500,12.2500,12.4400
600030,中信证券,2011-06-03,12.4000,12.6300,12.3500,12.5500
600030,中信证券,2011-06-07,12.5300,12.6500,12.4700,12.5600
600030,中信证券,2011-06-08,12.4600,12.4900,12.2700,12.4800
600030,中信证券,2011-06-10,12.3000,12.5700,12.2800,12.4900
600030,中信证券,2011-06-13,12.4000,12.4400,12.2300,12.3600
600030,中信证券,2011-06-14,12.3700,12.8400,12.3300,12.7400
600030,中信证券,2011-06-15,12.7200,12.7900,12.6100,12.6900
600030,中信证券,2011-06-16,12.2000,12.2000,11.8900,11.9600
600030,中信证券,2011-06-17,11.9500,12.0300,11.7800,11.8100
600030,中信证券,2011-06-20,11.7500,11.9800,11.7200,11.8600
600030,中信证券,2011-06-21,11.8800,12.1200,11.8800,12.0700
600030,中信证券,2011-06-22,12.1200,12.1900,11.8900,11.9600
600030,中信证券,2011-06-23,11.9000,12.3100,11.9000,12.2300
600030,中信证券,2011-06-24,12.1700,13.4500,12.1400,13.2800
