IdxCd,IdxNm,TrdDt,OpPr,HiPr,LoPr,ClPr
399001,深证成指,2011-01-11,12275.90,12419.30,12212.60,12385.17
399001,深证成指,2011-01-12,12435.72,12518.43,12251.41,12409.98
399001,深证成指,2011-01-13,12457.77,12486.23,12358.45,12423.34
399001,深证成指,2011-01-14,12390.66,12390.66,12212.50,12294.17
399001,深证成指,2011-01-17,12159.95,12229.56,11712.68,11734.62
399001,深证成指,2011-01-18,11699.51,11797.22,11624.34,11771.59
399001,深证成指,2011-01-19,11785.50,12076.97,11730.74,12066.55
399001,深证成指,2011-01-20,12034.61,12034.61,11566.07,11566.74
399001,深证成指,2011-01-21,11534.20,11860.61,11491.93,11639.96
399001,深证成指,2011-01-24,11661.76,11689.28,11419.36,11488.92
399001,深证成指,2011-01-25,11465.53,11523.79,11377.34,11446.37
399001,深证成指,2011-01-26,11459.02,11633.10,11459.02,11599.67
399001,深证成指,2011-01-27,11481.78,11832.54,11392.94,11795.33
399001,深证成指,2011-01-28,11789.64,11935.04,11768.81,11894.23
399001,深证成指,2011-01-31,11884.34,12020.51,11820.20,11994.68
399001,深证成指,2011-02-01,12044.41,12052.39,11928.01,11991.51
399001,深证成指,2011-02-09,11903.65,12041.96,11774.30,11807.93
399001,深证成指,2011-02-10,11775.10,12177.44,11764.23,12170.51
399001,深证成指,2011-02-11,12162.32,12376.03,12127.74,12292.49
399001,深证成指,2011-02-14,12318.31,12766.05,12318.31,12737.80
399001,深证成指,2011-02-15,12767.79,12865.47,12707.21,12711.58
399001,深证成指,2011-02-16,12675.87,12884.87,12617.10,12884.87
399001,深证成指,2011-02-17,12907.69,12936.74,12664.85,12788.33
399001,深证成指,2011-02-18,12750.26,12751.15,12586.39,12613.11
399001,深证成指,2011-02-21,12526.25,12872.95,12518.61,12872.47
399001,深证成指,2011-02-22,12917.36,12918.42,12465.42,12473.33
399001,深证成指,2011-02-23,12436.63,12554.98,12396.05,12492.70
399001,深证成指,2011-02-24,12476.04,12601.43,12387.76,12578.43
399001,深证成指,2011-02-25,12585.82,12735.15,12464.40,12633.88
399001,深证成指,2011-02-28,12658.19,12907.68,12562.95,12902.43
399001,深证成指,2011-03-01,12911.07,13023.02,12866.82,12948.72
399001,深证成指,2011-03-02,12878.43,12912.72,12683.98,12880.27
399001,深证成指,2011-03-03,12889.23,12966.85,12698.16,12698.16
399001,深证成指,2011-03-04,12714.24,12908.49,12669.52,12893.84
399001,深证成指,2011-03-07,12961.42,13163.21,12961.42,13140.88
399001,深证成指,2011-03-08,13146.68,13154.91,13041.21,13144.18
399001,深证成指,2011-03-09,13171.05,13233.02,13102.19,13158.22
399001,深证成指,2011-03-10,13115.17,13115.17,12994.26,13004.85
399001,深证成指,2011-03-11,12928.25,13038.99,12821.07,12848.02
399001,深证成指,2011-03-14,12814.10,12958.29,12776.91,12958.29
399001,深证成指,2011-03-15,12905.99,12905.99,12447.70,12705.32
