StkCd,LStkNm,TrdDt,OpPr,HiPr,LoPr,ClPr
600004,白云机场,2011-01-04,8.8200,9.0600,8.6700,9.0000
600004,白云机场,2011-01-05,8.9800,9.4200,8.9500,9.2500
600004,白云机场,2011-01-06,9.2500,9.2500,8.9100,9.0500
600004,白云机场,2011-01-07,9.0000,9.0900,8.7900,8.9000
600004,白云机场,2011-01-10,8.9000,8.9800,8.7400,8.8000
600004,白云机场,2011-01-11,8.7700,8.9000,8.7300,8.8900
600004,白云机场,2011-01-12,8.8900,8.9800,8.8100,8.9700
600004,白云机场,2011-01-13,8.9500,9.1200,8.9100,8.9400
600004,白云机场,2011-01-14,8.9100,8.9400,8.6800,8.6900
600004,白云机场,2011-01-17,8.6600,8.6600,8.3100,8.3300
600004,白云机场,2011-01-18,8.3700,8.3800,8.2300,8.3500
600004,白云机场,2011-01-19,8.3600,8.5300,8.2800,8.5200
600004,白云机场,2011-01-20,8.4700,8.4700,8.2500,8.3400
600004,白云机场,2011-01-21,8.2800,8.4900,8.2700,8.3900
600004,白云机场,2011-01-24,8.4000,8.6200,8.3500,8.4900
600004,白云机场,2011-01-25,8.4600,8.5700,8.3700,8.4600
600004,白云机场,2011-01-26,8.4600,8.5300,8.4300,8.5100
600004,白云机场,2011-01-27,8.4900,8.6200,8.4000,8.5500
600004,白云机场,2011-01-28,8.5600,8.5600,8.4400,8.5200
600004,白云机场,2011-01-31,8.5200,8.6000,8.4300,8.5800
600004,白云机场,2011-02-01,8.5500,8.5900,8.5100,8.5800
600004,白云机场,2011-02-09,8.5300,8.5700,8.4000,8.4600
600004,白云机场,2011-02-10,8.4600,8.6000,8.4300,8.5900
600004,白云机场,2011-02-11,8.5800,8.7500,8.5500,8.6600
600004,白云机场,2011-02-14,8.6600,8.9200,8.6600,8.9000
600004,白云机场,2011-02-15,8.9100,9.0400,8.8200,8.8300
600004,白云机场,2011-02-16,8.8400,8.9400,8.7900,8.9200
600004,白云机场,2011-02-17,8.9500,8.9800,8.8000,8.8600
600004,白云机场,2011-02-18,8.8600,8.9500,8.7400,8.7600
600004,白云机场,2011-02-21,8.7000,8.8200,8.6900,8.7900
600004,白云机场,2011-02-22,8.8100,8.8500,8.5000,8.5200
600004,白云机场,2011-02-23,8.5100,8.6300,8.4900,8.5600
600004,白云机场,2011-02-24,8.5500,8.6200,8.5000,8.6100
600004,白云机场,2011-02-25,8.6100,8.6300,8.5000,8.5600
600004,白云机场,2011-02-28,8.5700,8.6500,8.5000,8.6500
600004,白云机场,2011-03-01,8.6600,8.8000,8.6400,8.7900
600004,白云机场,2011-03-02,8.7400,8.8200,8.6800,8.7800
600004,白云机场,2011-03-03,8.7900,8.8800,8.7400,8.7500
600004,白云机场,2011-03-04,8.7500,8.8900,8.7500,8.8700
600004,白云机场,2011-03-07,8.9100,8.9800,8.8800,8.9700
600004,白云机场,2011-03-08,8.9800,9.0500,8.8800,9.0500
600004,白云机场,2011-03-09,9.0400,9.2500,9.0000,9.0000
600004,白云机场,2011-03-10,9.0000,9.0400,8.8600,9.0200
600004,白云机场,2011-03-11,8.9600,9.1800,8.9100,8.9900
600004,白云机场,2011-03-14,8.9600,9.0700,8.8800,8.9900
600004,白云机场,2011-03-15,8.9900,8.9900,8.6900,8.9100
600004,白云机场,2011-03-16,8.8600,8.9000,8.8100,8.8500
600004,白云机场,2011-03-17,8.8200,8.8500,8.6900,8.7100
600004,白云机场,2011-03-18,8.7700,8.8000,8.7100,8.7400
600004,白云机场,2011-03-21,8.7400,8.7700,8.6900,8.7400
600004,白云机场,2011-03-22,8.7300,8.7900,8.6800,8.7500
600004,白云机场,2011-03-23,8.7400,8.8100,8.7000,8.8000
600004,白云机场,2011-03-24,8.8200,8.8300,8.7600,8.7700
600004,白云机场,2011-03-25,8.7800,8.8500,8.7600,8.8400
600004,白云机场,2011-03-28,8.8400,8.9200,8.8300,8.8600
600004,白云机场,2011-03-29,8.8600,8.9400,8.8400,8.8700
600004,白云机场,2011-03-30,8.8700,8.8900,8.7200,8.7700
600004,白云机场,2011-03-31,8.7600,8.7900,8.5800,8.6000
600004,白云机场,2011-04-01,8.6000,8.8500,8.5600,8.8100
600004,白云机场,2011-04-06,8.7300,8.7800,8.6600,8.7600
600004,白云机场,2011-04-07,8.7700,8.8300,8.7300,8.8100
600004,白云机场,2011-04-08,8.8000,8.8700,8.7600,8.8300
600004,白云机场,2011-04-11,8.8200,8.8900,8.8100,8.8200
600004,白云机场,2011-04-12,8.8000,9.0000,8.7600,8.9800
600004,白云机场,2011-04-13,8.9700,9.0200,8.9100,9.0100
600004,白云机场,2011-04-14,9.0100,9.0200,8.8700,8.8900
600004,白云机场,2011-04-15,8.9200,8.9500,8.8300,8.9200
600004,白云机场,2011-04-18,8.9000,9.0300,8.9000,9.0000
600004,白云机场,2011-04-19,8.9600,8.9700,8.7400,8.8200
600004,白云机场,2011-04-20,8.8200,8.8600,8.8000,8.8600
600004,白云机场,2011-04-21,8.8800,8.9800,8.8400,8.9500
600004,白云机场,2011-04-22,8.9500,9.0500,8.8800,8.9600
600004,白云机场,2011-04-25,9.0000,9.0300,8.7800,8.8100
600004,白云机场,2011-04-26,8.8100,8.8400,8.6100,8.6900
600004,白云机场,2011-04-27,8.7300,8.7600,8.6000,8.6300
600004,白云机场,2011-04-28,8.6700,8.7200,8.4900,8.5100
600004,白云机场,2011-04-29,8.5200,8.6000,8.5000,8.5900
600004,白云机场,2011-05-03,8.5900,8.7000,8.5600,8.6900
600004,白云机场,2011-05-04,8.6600,8.7500,8.5700,8.6000
600004,白云机场,2011-05-05,8.5600,8.6900,8.5600,8.6800
600004,白云机场,2011-05-06,8.6000,8.7400,8.6000,8.7000
600004,白云机场,2011-05-09,8.7000,8.7400,8.6300,8.6600
600004,白云机场,2011-05-10,8.6600,8.6700,8.5800,8.6200
600004,白云机场,2011-05-11,8.6300,8.6800,8.6000,8.6300
600004,白云机场,2011-05-12,8.6000,8.6200,8.5400,8.5600
600004,白云机场,2011-05-13,8.5500,8.6100,8.5000,8.6000
600004,白云机场,2011-05-16,8.6000,8.6300,8.5300,8.5900
600004,白云机场,2011-05-17,8.6100,8.6200,8.5200,8.5800
600004,白云机场,2011-05-18,8.5800,8.6400,8.5700,8.6100
600004,白云机场,2011-05-19,8.6200,8.6500,8.5300,8.5400
600004,白云机场,2011-05-20,8.5500,8.5600,8.5000,8.5300
600004,白云机场,2011-05-23,8.5300,8.5300,8.2500,8.2700
600004,白云机场,2011-05-24,8.2800,8.3200,8.2100,8.2900
600004,白云机场,2011-05-25,8.2700,8.3000,8.1800,8.1900
600004,白云机场,2011-05-26,8.2000,8.2400,8.1300,8.1400
600004,白云机场,2011-05-27,8.1800,8.1800,8.0500,8.0700
600004,白云机场,2011-05-30,8.0900,8.1100,7.9900,8.0000
