StkCd,LStkNm,TrdDt,OpPr,HiPr,LoPr,ClPr
600889,南京化纤,2011-01-04,7.4300,7.5200,7.3600,7.5000
600889,南京化纤,2011-01-05,7.4800,7.4800,7.3700,7.4200
600889,南京化纤,2011-01-06,7.4600,7.7500,7.3900,7.6800
600889,南京化纤,2011-01-07,7.5900,7.6400,7.5100,7.5500
600889,南京化纤,2011-01-10,7.5900,7.5900,7.2700,7.2800
600889,南京化纤,2011-01-11,7.1800,7.4700,7.1800,7.4400
600889,南京化纤,2011-01-12,7.4500,7.5500,7.3800,7.5100
600889,南京化纤,2011-01-13,7.5100,7.5400,7.3700,7.3800
600889,南京化纤,2011-01-14,7.3000,7.3800,7.1500,7.1900
600889,南京化纤,2011-01-17,7.1800,7.2300,6.6400,6.7200
600889,南京化纤,2011-01-18,6.7000,7.0000,6.6600,6.8300
600889,南京化纤,2011-01-19,6.7500,7.1600,6.7500,7.0400
600889,南京化纤,2011-01-20,7.0400,7.0800,6.8400,6.9900
600889,南京化纤,2011-01-21,6.9800,7.1500,6.8800,7.0600
600889,南京化纤,2011-01-24,7.0700,7.2400,6.9600,7.0500
600889,南京化纤,2011-01-25,7.0900,7.1700,6.7600,6.8500
600889,南京化纤,2011-01-26,6.8500,7.0300,6.8400,6.9100
600889,南京化纤,2011-01-27,6.8000,7.0500,6.8000,6.9900
600889,南京化纤,2011-01-28,6.9600,7.1100,6.9600,7.0800
600889,南京化纤,2011-01-31,7.0600,7.1600,7.0300,7.1400
600889,南京化纤,2011-02-01,7.1600,7.1600,7.0700,7.1200
600889,南京化纤,2011-02-09,7.1000,7.2000,7.1000,7.1500
600889,南京化纤,2011-02-10,7.1500,7.3100,7.0900,7.3000
600889,南京化纤,2011-02-11,7.3000,7.5200,7.2900,7.4100
600889,南京化纤,2011-02-14,7.4200,7.5900,7.4100,7.5100
600889,南京化纤,2011-02-15,7.5900,7.6600,7.4100,7.4500
600889,南京化纤,2011-02-16,7.4800,7.6300,7.4600,7.6100
600889,南京化纤,2011-02-17,7.6700,7.7000,7.5200,7.6500
600889,南京化纤,2011-02-18,7.6800,7.7600,7.6000,7.6900
600889,南京化纤,2011-02-21,7.6200,8.0400,7.6200,7.9700
600889,南京化纤,2011-02-22,7.9700,8.0000,7.5000,7.6600
600889,南京化纤,2011-02-23,7.6400,7.8400,7.6000,7.7600
600889,南京化纤,2011-02-24,7.6900,7.9600,7.6900,7.9100
600889,南京化纤,2011-02-25,7.8900,8.0000,7.8200,7.9100
600889,南京化纤,2011-02-28,7.9400,8.0300,7.8600,8.0000
600889,南京化纤,2011-03-01,8.0000,8.0800,7.9500,8.0100
600889,南京化纤,2011-03-02,7.9900,8.0700,7.8500,8.0100
